Time,X,Y,Z,Gas1L,Gas1R
0,0.0403612405,0.2221505046,1.0179867744,18645,18478
100,0.0530753098,0.2281800807,1.0131540298,18645,18478
200,0.0658570603,0.2312097698,1.0092306137,18645,18458
300,0.0791725516,0.2309728265,1.0046173334,18645,18458
400,0.0892025307,0.2359739095,0.9947910905,18645,18458
500,0.0902477056,0.2392662019,0.9864683151,18644,18458
600,0.0901867822,0.2385663688,0.9833504558,18644,18458
700,0.0921551213,0.2343513966,0.9828845859,18644,18436
800,0.0985287130,0.2344483882,0.9888892770,18644,18436
900,0.1051391363,0.2302846164,0.9879509211,18644,18436
1000,0.1168734431,0.2262518704,0.9848025441,18647,18436
1100,0.1296429336,0.2182212770,0.9862804413,18647,18436
1200,0.1367711276,0.2175285369,0.9854499102,18647,18447
1300,0.1536328793,0.2142663598,0.9881352782,18647,18447
1400,0.1709235758,0.2097752541,0.9880893826,18647,18447
1500,0.1797157079,0.2063197792,0.9923046827,18638,18447
1600,0.1855816245,0.2027597129,0.9873554111,18638,18447
1700,0.1990243345,0.2038205713,0.9862579703,18638,18435
1800,0.2097227126,0.2047883123,0.9812856317,18638,18435
1900,0.2114910036,0.1989591718,0.9787607789,18638,18435
2000,0.2186770886,0.2017826438,0.9802039862,18631,18435
2100,0.2294704467,0.2009191662,0.9805446267,18631,18435
2200,0.2375416309,0.2011717260,0.9749665856,18631,18434
2300,0.2576764822,0.1937134415,0.9724890590,18631,18434
2400,0.2618776262,0.1927241534,0.9696113467,18631,18434
2500,0.2749632597,0.1896776855,0.9707679749,18629,18434
2600,0.2758750618,0.1859091371,0.9697341919,18629,18434
2700,0.2909489870,0.1824249625,0.9749260545,18629,18438
2800,0.2997861207,0.1848429888,0.9730330110,18629,18438
2900,0.3044740856,0.1843459159,0.9764592052,18629,18438
3000,0.3164719343,0.1781045794,0.9764188528,18625,18438
3100,0.3321094215,0.1774340272,0.9755904078,18625,18438
3200,0.3390673995,0.1711390913,0.9769174457,18625,18438
3300,0.3590237498,0.1699177176,0.9764184952,18625,18438
3400,0.3714538813,0.1655304134,0.9780940413,18625,18438
3500,0.3811298609,0.1607314944,0.9778331518,18624,18438
3600,0.3934749365,0.1574919224,0.9727445841,18624,18438
3700,0.3991286159,0.1528380513,0.9720227718,18624,18440
3800,0.4044216275,0.1562039256,0.9674183726,18624,18440
3900,0.4089820087,0.1514525414,0.9663664699,18624,18440
4000,0.4172869325,0.1519905627,0.9655357599,18616,18440
4100,0.4274102151,0.1490892470,0.9678848982,18616,18440
4200,0.4303746819,0.1495099515,0.9657732248,18616,18438
4300,0.4461180866,0.1457604170,0.9677703381,18616,18438
4400,0.4585305154,0.1448785216,0.9706514478,18616,18438
4500,0.4674471915,0.1421905160,0.9702333212,18598,18438
4600,0.4742302299,0.1405366808,0.9723020792,18598,18438
4700,0.4838439524,0.1391055882,0.9760587811,18598,18440
4800,0.4855825305,0.1398616284,0.9750994444,18598,18440
4900,0.4977579415,0.1375507712,0.9702777267,18598,18440
5000,0.5026324391,0.1348709464,0.9665054679,18607,18440
5100,0.5122988820,0.1375314742,0.9663801193,18607,18440
5200,0.5255996585,0.1363600194,0.9662556648,18607,18451
5300,0.5377095342,0.1347803921,0.9699650407,18607,18451
5400,0.5543310642,0.1335195601,0.9724039435,18607,18451
5500,0.5625318289,0.1373390108,0.9693239927,18606,18451
5600,0.5748471618,0.1351823062,0.9660874605,18606,18451
5700,0.5831995010,0.1374613494,0.9648123980,18606,18437
5800,0.5995118618,0.1363368183,0.9614464641,18606,18437
5900,0.6012645960,0.1378281116,0.9614020586,18606,18437
6000,0.6047264934,0.1370945871,0.9624075890,18588,18437
6100,0.6146171093,0.1413951367,0.9625738859,18588,18437
6200,0.6228652596,0.1374890059,0.9629375339,18588,18444
6300,0.6313945055,0.1351319402,0.9627588391,18588,18444
6400,0.6438786983,0.1336188763,0.9597053528,18588,18444
6500,0.6650990248,0.1298588812,0.9586374760,18584,18444
6600,0.6737934351,0.1296810657,0.9550477266,18584,18444
6700,0.6774942279,0.1249880791,0.9525136352,18584,18437
6800,0.6888999939,0.1257059127,0.9535160661,18584,18437
6900,0.6959468722,0.1258199215,0.9581837058,18584,18437
7000,0.7014703155,0.1229415536,0.9565587044,18567,18437
7100,0.7158392668,0.1201374680,0.9516324997,18567,18437
7200,0.7272595763,0.1189908385,0.9508018494,18567,18445
7300,0.7456532121,0.1186673567,0.9535095096,18567,18445
7400,0.7683625817,0.1164493635,0.9559927583,18567,18445
7500,0.7763021588,0.1143020466,0.9619820118,18561,18445
7600,0.7889252901,0.1141272858,0.9637072682,18561,18445
7700,0.7985531688,0.1100641713,0.9594581723,18561,18448
7800,0.8100986481,0.1057729796,0.9573354125,18561,18448
7900,0.8032433391,0.1062067598,0.9549282789,18561,18448
8000,0.8078985810,0.1017822176,0.9537528157,18561,18448
8100,0.8170301318,0.1009254158,0.9589433074,18561,18448
8200,0.8286710382,0.1010724604,0.9630447030,18561,18449
8300,0.8402016759,0.1022771671,0.9637064934,18561,18449
8400,0.8550756574,0.1039071083,0.9618578553,18561,18449
8500,0.8671615720,0.1034755111,0.9596259594,18539,18449
8600,0.8825118542,0.1007178128,0.9605127573,18539,18449
8700,0.8898146749,0.1029661894,0.9597368836,18539,18454
8800,0.9043542147,0.1023277119,0.9616699815,18539,18454
8900,0.9100205898,0.0990814492,0.9568309188,18539,18454
9000,0.9147460461,0.1016258895,0.9540546536,18538,18454
9100,0.9276245832,0.0993616655,0.9540546536,18538,18454
9200,0.9397870302,0.1012997404,0.9554752707,18538,18455
9300,0.9575312734,0.0979845226,0.9584912062,18538,18455
9400,0.9719063044,0.0977292731,0.9617024064,18538,18455
9500,0.9854254127,0.1021471471,0.9601760507,18535,18455
9600,1.0017431974,0.0984521508,0.9606307745,18535,18455
9700,1.0071709156,0.1011661366,0.9626532197,18535,18452
9800,1.0127789974,0.1003568470,0.9598729610,18535,18452
9900,1.0197788477,0.0977770165,0.9588470459,18535,18452
10000,1.0259093046,0.1003696248,0.9586567283,18540,18452
10100,1.0296884775,0.1028725654,0.9559363723,18540,18452
10200,1.0389522314,0.1003090590,0.9548734426,18540,18458
10300,1.0597668886,0.0992672741,0.9525116086,18540,18458
10400,1.0674104691,0.1000955477,0.9517638683,18540,18458
10500,1.0841926336,0.1014296338,0.9528930187,18544,18458
10600,1.0975266695,0.0998506844,0.9534687996,18544,18458
10700,1.1095762253,0.1000455841,0.9530974030,18544,18450
10800,1.1117669344,0.1016647369,0.9535067677,18544,18450
10900,1.1202508211,0.0996069908,0.9541464448,18544,18450
11000,1.1255117655,0.1015070304,0.9519577622,18546,18450
11100,1.1292554140,0.1034291834,0.9503329396,18546,18450
11200,1.1332178116,0.1010242850,0.9519876838,18546,18452
11300,1.1483346224,0.0956363603,0.9549213052,18546,18452
11400,1.1529124975,0.0958345830,0.9571361542,18546,18452
11500,1.1787580252,0.0920392722,0.9606600404,18543,18452
11600,1.1934995651,0.0863660574,0.9621618986,18543,18452
11700,1.2079751492,0.0828150213,0.9612553120,18543,18450
11800,1.2144488096,0.0790110081,0.9568288326,18543,18450
11900,1.2218031883,0.0764371827,0.9558827877,18543,18450
12000,1.2217171192,0.0730020627,0.9528353214,18536,18450
12100,1.2289890051,0.0702078342,0.9506018162,18536,18450
12200,1.2335137129,0.0660157055,0.9530647993,18536,18452
12300,1.2445799112,0.0609530956,0.9543565512,18536,18452
12400,1.2574400902,0.0557159521,0.9563089609,18536,18452
12500,1.2794606686,0.0468983576,0.9569054246,18549,18452
12600,1.2962850332,0.0357393436,0.9601438046,18549,18452
12700,1.3033648729,0.0323745459,0.9602035284,18549,18451
12800,1.3075648546,0.0249851868,0.9599882960,18549,18451
12900,1.3168132305,0.0169735122,0.9566168189,18549,18451
13000,1.3121720552,0.0154441856,0.9535212517,18536,18451
13100,1.3236277103,0.0134516517,0.9539827704,18536,18451
13200,1.3253215551,0.0073894225,0.9572673440,18536,18448
13300,1.3338392973,0.0060191257,0.9575775862,18536,18448
13400,1.3488214016,0.0014848823,0.9605062008,18536,18448
13500,1.3679066896,-0.0060850303,0.9559209943,18537,18448
13600,1.3822182417,-0.0107245874,0.9539492130,18537,18448
13700,1.3936395645,-0.0175403450,0.9574650526,18537,18444
13800,1.4055372477,-0.0197596084,0.9539934397,18537,18444
13900,1.4112223387,-0.0251739938,0.9570595622,18537,18444
14000,1.4226478338,-0.0273443963,0.9533224106,18546,18444
14100,1.4258970022,-0.0227758233,0.9507283568,18546,18444
14200,1.4263575077,-0.0262524690,0.9571768641,18546,18441
14300,1.4372857809,-0.0272773113,0.9587211609,18546,18441
14400,1.4503669739,-0.0298711900,0.9574390054,18546,18441
14500,1.4602833986,-0.0327733047,0.9516937733,18557,18441
14600,1.4738636017,-0.0350570679,0.9498940110,18557,18441
14700,1.4983787537,-0.0439354032,0.9460850954,18557,18436
14800,1.5067065954,-0.0460669138,0.9469408989,18557,18436
14900,1.5130175352,-0.0501349829,0.9454910755,18557,18436
15000,1.5245130062,-0.0501590669,0.9479945302,18562,18436
15100,1.5281341076,-0.0536306947,0.9477685690,18562,18436
15200,1.5278410912,-0.0569825359,0.9502229691,18562,18419
15300,1.5379496813,-0.0567411371,0.9538509250,18562,18419
15400,1.5589849949,-0.0606254712,0.9556577206,18562,18419
15500,1.5723860264,-0.0643976256,0.9578785896,18564,18419
15600,1.5925469398,-0.0673932657,0.9622967243,18564,18419
15700,1.6135375500,-0.0731330514,0.9641146064,18564,18410
15800,1.6257560253,-0.0774698332,0.9607663751,18564,18410
15900,1.6231061220,-0.0759378225,0.9551652074,18564,18410
16000,1.6302195787,-0.0826985538,0.9529752135,18558,18410
16100,1.6260038614,-0.0818188414,0.9490454793,18558,18410
16200,1.6321166754,-0.0826234668,0.9503523111,18558,18399
