Time,X,Y,Z,Gas1L,Gas1R
0,0.1124100760,0.1024354771,0.9996439815,18532,18532
100,0.1268409044,0.1168934107,0.9967688918,18532,18532
200,0.1385178119,0.1174943745,0.9928260446,18532,18532
300,0.1427434385,0.1207380146,0.9939583540,18540,18532
400,0.1453771740,0.1345367581,0.9912592769,18540,18532
500,0.1495605856,0.1360641569,0.9892606735,18540,18542
600,0.1559983492,0.1344483793,0.9889804125,18540,18542
700,0.1556881815,0.1353681087,0.9884105921,18540,18542
800,0.1611785591,0.1331330538,0.9898248911,18546,18542
900,0.1644845754,0.1443709135,0.9939187169,18546,18542
1000,0.1794982851,0.1427058876,0.9941519499,18546,18539
1101,0.1883117259,0.1487824172,0.9909787774,18546,18539
1200,0.2003308535,0.1479691565,0.9896418452,18546,18539
1300,0.2124174386,0.1487482041,0.9870228767,18549,18539
1400,0.2311733067,0.1486003101,0.9863737226,18549,18539
1500,0.2390869558,0.1512821168,0.9879645109,18549,18553
1601,0.2531479895,0.1488131732,0.9855239391,18549,18553
1700,0.2576513886,0.1447230130,0.9833766222,18549,18553
1801,0.2607071996,0.1456048340,0.9815645218,18552,18553
1901,0.2685410976,0.1440447569,0.9793282151,18552,18553
2000,0.2766093612,0.1428181827,0.9790498018,18552,18547
2100,0.2927033603,0.1381696761,0.9795256853,18552,18547
2200,0.3064548969,0.1395825446,0.9797427058,18552,18547
2301,0.3220860958,0.1368530840,0.9792178273,18555,18547
2401,0.3381130099,0.1357982010,0.9775712490,18555,18547
2501,0.3470045328,0.1365197897,0.9731047750,18555,18541
2601,0.3554234207,0.1389709115,0.9666952491,18555,18541
2701,0.3620919287,0.1377032846,0.9653646350,18555,18541
2800,0.3616063893,0.1382989734,0.9700257778,18560,18541
2901,0.3664171994,0.1385297775,0.9695723057,18560,18541
3001,0.3765135407,0.1402107626,0.9678844810,18560,18544
3101,0.3823490739,0.1385044456,0.9690100551,18560,18544
3201,0.4000253975,0.1394354403,0.9659584165,18560,18544
3301,0.4094652236,0.1415856332,0.9628686309,18565,18544
3401,0.4249209464,0.1422920227,0.9689080119,18565,18544
3501,0.4314272404,0.1395152956,0.9734414220,18565,18554
3601,0.4416151047,0.1389900893,0.9761086702,18565,18554
3701,0.4559201896,0.1394580305,0.9756545424,18565,18554
3801,0.4581025243,0.1348262280,0.9700340629,18553,18554
3901,0.4637342393,0.1306488514,0.9689574242,18553,18554
4001,0.4784004986,0.1376860440,0.9629961252,18553,18550
4101,0.4867459536,0.1309183240,0.9634627700,18553,18550
4201,0.4970467389,0.1242400259,0.9671389461,18553,18550
4301,0.5178974271,0.1239706576,0.9681964517,18562,18550
4400,0.5311220288,0.1234738156,0.9695598483,18562,18550
4501,0.5416959524,0.1181635931,0.9714181423,18562,18557
4600,0.5483284593,0.1252150387,0.9735706449,18562,18557
4701,0.5674157143,0.1271331906,0.9728644490,18562,18557
4800,0.5797529817,0.1235371232,0.9687824845,18575,18557
4900,0.5789065957,0.1238393560,0.9685834646,18575,18557
5001,0.5916306973,0.1275395751,0.9696567059,18575,18559
5100,0.6005691290,0.1272651851,0.9706014991,18575,18559
