Time,X,Y,Z,Gas1L,Gas1R
0,0.0860725939,0.1721236557,0.9948165417,18557,18411
100,0.1030257195,0.1914197654,0.9925886989,18557,18411
200,0.1148510277,0.1997092664,0.9949504137,18557,18411
300,0.1167679355,0.2050309330,0.9914885163,18558,18411
400,0.1169961095,0.2050537914,0.9883744717,18558,18411
500,0.1162956730,0.2143197507,0.9881767035,18558,18408
600,0.1256083697,0.2179434896,0.9856675863,18558,18408
700,0.1236265227,0.2180270553,0.9813618064,18558,18408
800,0.1274176687,0.2131134570,0.9846391082,18551,18408
900,0.1318830252,0.2185526490,0.9854662418,18551,18408
1000,0.1429789364,0.2047727555,0.9857057333,18551,18404
1100,0.1542603523,0.2048311532,0.9824200273,18551,18404
1200,0.1730606854,0.2043413818,0.9767329097,18551,18404
1300,0.1884388626,0.2028377801,0.9786965847,18549,18404
1400,0.1941191703,0.2033990473,0.9831177592,18549,18404
1500,0.2002741992,0.2034662515,0.9890306592,18549,18407
1600,0.2086168230,0.2076710463,0.9922330379,18549,18407
1700,0.2139607519,0.2060989588,0.9876799583,18549,18407
1800,0.2186267078,0.2091707289,0.9863576889,18536,18407
1900,0.2261624634,0.2087824643,0.9856858253,18536,18407
2000,0.2345735580,0.2106951773,0.9835447073,18536,18410
2100,0.2499785125,0.2101828605,0.9776315093,18536,18410
2200,0.2634966373,0.2129549235,0.9738833904,18536,18410
2300,0.2861173153,0.2119895369,0.9722740650,18540,18410
2400,0.2961042821,0.2137900889,0.9717550278,18540,18410
2500,0.3071936071,0.2142990828,0.9709247351,18540,18397
2600,0.3149720728,0.2141948640,0.9748126864,18540,18397
2700,0.3240616322,0.2169871628,0.9748294353,18540,18397
2800,0.3256072402,0.2173573822,0.9776498675,18532,18397
2900,0.3304948211,0.2156654298,0.9802355766,18532,18397
3000,0.3426003158,0.2167139351,0.9785990715,18532,18395
3100,0.3574494421,0.2116593271,0.9705317616,18532,18395
3200,0.3672831059,0.2138398141,0.9628706574,18532,18395
3300,0.3888475895,0.2133875489,0.9620733857,18527,18395
3400,0.4008772671,0.2140814960,0.9647190571,18527,18395
3500,0.4118541777,0.2103323936,0.9690470099,18527,18396
3600,0.4122941196,0.2080949247,0.9722411036,18527,18396
3700,0.4254034162,0.2099864930,0.9766084552,18527,18396
3800,0.4259665906,0.2071902603,0.9738510251,18520,18396
3900,0.4310832620,0.2053678781,0.9708314538,18520,18396
4000,0.4396774769,0.2031989992,0.9702888727,18520,18401
4100,0.4536992013,0.2038866132,0.9666686058,18520,18401
4200,0.4629335105,0.2019785196,0.9609693289,18520,18401
4300,0.4824197590,0.2007384449,0.9613010287,18526,18401
4400,0.4974657297,0.2002477646,0.9659641385,18526,18401
4500,0.5129073262,0.1987842768,0.9691533446,18526,18392
4600,0.5156969428,0.1985932738,0.9726424217,18526,18392
4700,0.5265001059,0.2019640952,0.9762960672,18526,18392
4800,0.5294149518,0.1989702284,0.9771766067,18530,18392
4900,0.5351341367,0.1982253194,0.9740520716,18530,18392
5000,0.5487784743,0.1988979727,0.9655637741,18530,18394
5100,0.5546926260,0.1956444234,0.9612295032,18530,18394
5201,0.5680894256,0.1936239898,0.9596885443,18530,18394
5300,0.5820907950,0.1925584376,0.9615479708,18524,18394
5400,0.5962276459,0.1868318915,0.9638356566,18524,18394
5500,0.6173848510,0.1853215247,0.9620432258,18524,18391
5600,0.6228117943,0.1838086694,0.9607825875,18524,18391
5700,0.6322295666,0.1830358356,0.9593786001,18524,18391
5800,0.6363866925,0.1834767163,0.9615529180,18524,18391
5900,0.6377169490,0.1861216873,0.9608967304,18524,18391
6000,0.6456640363,0.1850829273,0.9631003141,18524,18389
6100,0.6495633721,0.1827615947,0.9692340493,18524,18389
6200,0.6652004123,0.1819252670,0.9675840139,18524,18389
6300,0.6795983315,0.1814918220,0.9652817845,18526,18389
6400,0.6986468434,0.1801246852,0.9623352289,18526,18389
6500,0.7072430253,0.1778272092,0.9628436565,18526,18388
6600,0.7186602354,0.1755803078,0.9615893960,18526,18388
6700,0.7241148353,0.1763709337,0.9610303044,18526,18388
6800,0.7385191321,0.1768167913,0.9572612047,18532,18388
6900,0.7393242717,0.1767968088,0.9577814937,18532,18388
7000,0.7443711162,0.1713111401,0.9560947418,18532,18379
7100,0.7485787868,0.1720837504,0.9550173879,18532,18379
7200,0.7578933835,0.1735346764,0.9557533264,18532,18379
7300,0.7677096128,0.1743364334,0.9574646950,18521,18379
7400,0.7819364071,0.1725713909,0.9597675204,18521,18379
7500,0.7931984663,0.1722215414,0.9593891501,18521,18382
7600,0.8047583699,0.1720494628,0.9623996019,18521,18382
7700,0.8124446869,0.1712345630,0.9610473514,18521,18382
7800,0.8269124031,0.1728611290,0.9569224119,18523,18382
7900,0.8294779062,0.1714051515,0.9555980563,18523,18382
8000,0.8384720683,0.1697205454,0.9571895003,18523,18377
8100,0.8426513076,0.1711658537,0.9591121674,18523,18377
8200,0.8558492064,0.1711827964,0.9558104873,18523,18377
8300,0.8634073138,0.1745332032,0.9568032026,18527,18377
8400,0.8856382966,0.1781444848,0.9604755044,18527,18377
8500,0.8998039365,0.1774325073,0.9614698887,18527,18374
8600,0.9076467752,0.1800562441,0.9602116346,18527,18374
8700,0.9122357965,0.1796450019,0.9580533504,18527,18374
8800,0.9238488674,0.1830519736,0.9575342536,18526,18374
