Time,X,Y,Z,Gas1L,Gas1R
0,0.1149235219,0.1681534946,1.0015155077,18209,18199
100,0.1281396747,0.1707036793,1.0030066967,18209,18195
200,0.1311319470,0.1678440720,1.0046832561,18209,18195
300,0.1427372992,0.1750554442,1.0016288757,18204,18195
400,0.1484922469,0.1802111119,0.9979222417,18204,18195
500,0.1542935371,0.1809178740,0.9952827096,18204,18195
600,0.1526282281,0.1830147207,0.9924986959,18204,18193
700,0.1600876898,0.1801301241,0.9921325445,18204,18193
800,0.1585066617,0.1760967523,0.9900535345,18212,18193
900,0.1562913954,0.1805350482,0.9893882871,18212,18193
1000,0.1656785011,0.1814491302,0.9876002073,18212,18193
1100,0.1786766052,0.1807009429,0.9877093434,18212,18197
1200,0.1798019260,0.1778193861,0.9844221473,18212,18197
1300,0.1971394569,0.1865919381,0.9839581251,18220,18197
1400,0.2130270153,0.1911500394,0.9842305779,18220,18197
1500,0.2251262069,0.1900646985,0.9823679328,18220,18197
1600,0.2330807000,0.1918819845,0.9827630520,18220,18197
1700,0.2463774085,0.1917388141,0.9813160300,18220,18197
1800,0.2461062819,0.1945211440,0.9830538630,18217,18197
1900,0.2505322695,0.1896637231,0.9824059606,18217,18197
2000,0.2642753720,0.1883678883,0.9810872078,18217,18197
2100,0.2700749636,0.1914781332,0.9744917154,18217,18196
2200,0.2761980593,0.1939756721,0.9706664681,18217,18196
2300,0.2918244600,0.1911455691,0.9742213488,18209,18196
2400,0.3023409545,0.1921933293,0.9777710438,18209,18196
2500,0.3101709783,0.1901903898,0.9793241620,18209,18196
2600,0.3142520189,0.1897338629,0.9822192788,18209,18201
2700,0.3252754509,0.1916854084,0.9800438285,18209,18201
2800,0.3230642974,0.1959862709,0.9799298644,18212,18201
2900,0.3272551298,0.1962467879,0.9771253467,18212,18201
3000,0.3376175761,0.1945573986,0.9759134650,18212,18201
3100,0.3501264155,0.1984226257,0.9741866589,18212,18201
3200,0.3575848639,0.1956717223,0.9713628292,18212,18201
3300,0.3766494095,0.1959676743,0.9677947760,18214,18201
3400,0.3905172348,0.1943735331,0.9662315249,18214,18201
3500,0.3987444043,0.1968292296,0.9683128595,18214,18201
3600,0.4080792964,0.1998542696,0.9713838100,18214,18200
3700,0.4164538383,0.1976071745,0.9715200067,18214,18200
3800,0.4241599739,0.1973852664,0.9708756804,18207,18200
3900,0.4270908535,0.1959207654,0.9700198770,18207,18200
4000,0.4351533949,0.1976325512,0.9702666998,18207,18200
4100,0.4420594871,0.1985491365,0.9692482352,18207,18204
4200,0.4510020316,0.1986937076,0.9669421911,18207,18204
4300,0.4652562737,0.1992698461,0.9601036906,18210,18204
4400,0.4808499515,0.2007802874,0.9591899514,18210,18204
4500,0.4928739369,0.2016935498,0.9617315531,18210,18204
4600,0.5040064454,0.1996100396,0.9664189816,18210,18208
4700,0.5131379962,0.1993743032,0.9676031470,18210,18208
4800,0.5229611993,0.2014629394,0.9700037241,18203,18208
4900,0.5262250900,0.2026222348,0.9709536433,18203,18208
5000,0.5343356729,0.2053104788,0.9725465775,18203,18208
5100,0.5431039333,0.2044820487,0.9716446400,18203,18220
5200,0.5591212511,0.2052179128,0.9697343111,18203,18220
5300,0.5759790540,0.2082584947,0.9659335613,18200,18220
5400,0.5922598839,0.2125042379,0.9591577649,18200,18220
5500,0.6008898020,0.2125960886,0.9622486234,18200,18220
5600,0.6146543622,0.2145279497,0.9623205066,18200,18211
5700,0.6197422147,0.2141841799,0.9627432823,18200,18211
