Time,X,Y,Z,Zrange,Gas1L,Gas1R
0,-0.0001908867,0.0004008070,0.0404619798,19,18777,18631
10,-0.0005417056,0.0008626535,0.0404764190,19,18777,18631
20,-0.0045737587,0.0011290552,0.0133305788,19,18777,18631
30,-0.0051227836,0.0020281924,0.0399461500,19,18777,18631
40,0.0013410647,0.0010106359,0.0654683858,18,18777,18631
50,0.0027262745,-0.0002761083,0.0655013025,18,18776,18631
60,0.0024737164,0.0008864916,0.0808584988,18,18776,18631
70,0.0008174454,0.0019470508,0.0877654925,18,18776,18631
80,0.0003253878,0.0010175548,0.0725566670,21,18776,18631
90,0.0003430993,0.0021204688,0.0728728250,21,18776,18631
100,0.0009300662,0.0007234044,0.0744599104,21,18776,18631
110,0.0008980224,-0.0000831836,0.0738469660,21,18776,18631
120,0.0009450112,0.0014146029,0.0605887435,18,18776,18631
130,0.0013408542,0.0015119340,0.0597055480,18,18776,18631
140,-0.0001339569,0.0011924035,0.0611224212,18,18776,18631
150,0.0012444847,0.0014214595,0.0628569722,18,18776,18631
160,0.0009898246,0.0024273836,0.0623127967,18,18776,18631
170,0.0003696401,0.0013980074,0.0486273617,18,18776,18631
180,0.0008571976,0.0008855524,0.0511677116,18,18776,18631
190,0.0012043304,0.0006326037,0.0499519035,18,18776,18631
200,0.0015217575,0.0015247479,0.0506629534,18,18776,18631
210,0.0004153224,0.0006289321,0.0398416221,17,18776,18631
220,-0.0008597436,0.0026161214,0.0400152206,17,18776,18631
230,-0.0004910788,0.0018576423,0.0434603356,17,18776,18631
240,-0.0007221019,0.0014284776,0.0423255228,17,18776,18631
250,-0.0003248263,0.0007793526,0.0318892151,16,18776,18631
260,-0.0002498635,0.0029937094,0.0342652649,16,18776,18631
270,-0.0002214223,0.0037822216,0.0326468498,16,18776,18631
280,-0.0007281917,0.0037913693,0.0361552164,16,18776,18631
290,-0.0014955482,0.0044385907,0.0356437042,16,18776,18631
300,-0.0018872286,0.0051894980,0.0292003024,21,18776,18637
310,-0.0013189780,0.0051063378,0.0307968631,21,18776,18637
320,-0.0013275857,0.0039930427,0.0303445086,21,18776,18637
330,-0.0027559760,0.0009759550,0.0199042950,21,18776,18637
340,-0.0024585761,0.0000465759,0.0203958359,18,18776,18637
350,-0.0034414660,0.0011486106,0.0292289183,18,18776,18637
360,-0.0039938386,0.0010396799,0.0281557273,18,18776,18637
370,-0.0037493224,0.0009730874,0.0287813768,18,18776,18637
380,-0.0042183367,0.0001475401,0.0291971508,18,18776,18637
390,-0.0025087215,-0.0002137967,0.0247390792,18,18776,18637
400,-0.0022594579,-0.0003000780,0.0242358241,18,18776,18637
410,-0.0030154514,-0.0008502663,0.0263872072,18,18776,18637
420,-0.0039915703,-0.0003509050,0.0259079337,18,18776,18637
430,-0.0030998467,-0.0009513741,0.0250687394,17,18776,18637
440,-0.0030876759,-0.0004280364,0.0245023295,17,18776,18637
450,-0.0028936213,-0.0010355053,0.0244872775,17,18776,18637
460,-0.0024816531,-0.0010660894,0.0234758221,17,18776,18637
470,-0.0030065256,-0.0006920142,0.0221459605,19,18776,18637
480,-0.0035807379,-0.0000764993,0.0203947108,19,18776,18637
490,-0.0036525293,-0.0010776104,0.0222908687,19,18776,18637
500,-0.0035026174,-0.0005675103,0.0228325371,19,18776,18637
510,-0.0031345501,-0.0006873093,0.0232008398,19,18776,18637
520,-0.0044642957,-0.0006107547,0.0226092078,19,18776,18637
