Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
0,3.5970461369,-6.1661915779,0.0222024005,0.0000000000,0.0000000000,0.0000000000,21,19548,19412
10,3.5981743336,-6.1689987183,0.0224780850,0.0011281967,-0.0028071404,0.0002756845,23,19548,19412
20,3.5965776443,-6.1703281403,0.0224114209,-0.0004684925,-0.0041365623,0.0002090205,23,19548,19412
30,3.5966351032,-6.1704821587,0.0223323256,-0.0004110336,-0.0042905807,0.0001299251,23,19548,19412
41,3.5951738358,-6.1691770554,0.0221661273,-0.0018723011,-0.0029854774,-0.0000362732,23,19548,19412
51,3.5927183628,-6.1616635323,0.0213105567,-0.0043277740,0.0045280457,-0.0008918438,20,19548,19412
62,3.5866017342,-6.1403985023,0.0210051835,-0.0104444027,0.0257930756,-0.0011972170,20,19548,19412
72,3.5847330093,-6.1301922798,0.0208665822,-0.0123131275,0.0359992981,-0.0013358183,20,19548,19412
80,3.5950691700,-6.1552796364,0.0208746921,-0.0019769669,0.0109119415,-0.0013277084,20,19548,19412
93,3.5936896801,-6.1471037865,0.0212123152,-0.0033564568,0.0190877914,-0.0009900853,22,19548,19412
100,3.5908217430,-6.1340117455,0.0210850015,-0.0062243938,0.0321798325,-0.0011173990,22,19548,19412
110,3.5896050930,-6.1296367645,0.0209546313,-0.0074410439,0.0365548134,-0.0012477692,22,19548,19412
120,3.5907337666,-6.1338667870,0.0208251029,-0.0063123703,0.0323247910,-0.0013772976,22,19548,19412
130,3.5875608921,-6.1164202690,0.0206834301,-0.0094852448,0.0497713089,-0.0015189704,22,19548,19412
140,3.5842974186,-6.1082057953,0.0215681922,-0.0127487183,0.0579857826,-0.0006342083,23,19548,19408
150,3.5822751522,-6.1014652252,0.0214910284,-0.0147709846,0.0647263527,-0.0007113721,23,19548,19408
160,3.5809619427,-6.0992107391,0.0214087293,-0.0160841942,0.0669808388,-0.0007936712,23,19548,19408
171,3.5827114582,-6.1053524017,0.0213238578,-0.0143346786,0.0608391762,-0.0008785427,23,19548,19408
180,3.5771050453,-6.0877428055,0.0212237984,-0.0199410915,0.0784487724,-0.0009786021,23,19548,19408
190,3.5806069374,-6.0932445526,0.0218778364,-0.0164391994,0.0729470253,-0.0003245641,23,19548,19408
200,3.5760316849,-6.0768523216,0.0218095072,-0.0210144520,0.0893392563,-0.0003928933,23,19548,19408
211,3.5748255253,-6.0713105202,0.0217472240,-0.0222206116,0.0948810577,-0.0004551765,23,19548,19408
220,3.5778253078,-6.0761656761,0.0216819700,-0.0192208290,0.0900259018,-0.0005204305,23,19548,19408
230,3.5732107162,-6.0623311996,0.0221849699,-0.0238354206,0.1038603783,-0.0000174306,23,19548,19408
240,3.5725429058,-6.0578165054,0.0221375730,-0.0245032310,0.1083750725,-0.0000648275,23,19548,19408
251,3.5682361126,-6.0424413681,0.0220799800,-0.0288100243,0.1237502098,-0.0001224205,23,19548,19408
260,3.5660049915,-6.0348653793,0.0220234040,-0.0310411453,0.1313261986,-0.0001789965,23,19548,19408
270,3.5678603649,-6.0413770676,0.0215824060,-0.0291857719,0.1248145103,-0.0006199945,21,19548,19408
280,3.5684697628,-6.0426192284,0.0214983635,-0.0285763741,0.1235723495,-0.0007040370,21,19548,19408
290,3.5693671703,-6.0476717949,0.0214184318,-0.0276789665,0.1185197830,-0.0007839687,21,19548,19408
300,3.5657367706,-6.0357165337,0.0213236716,-0.0313093662,0.1304750443,-0.0008787289,21,19548,19408
310,3.5635564327,-6.0310549736,0.0212146658,-0.0334897041,0.1351366043,-0.0009877346,21,19548,19408
320,3.5593318939,-6.0191111565,0.0214807037,-0.0377142429,0.1470804214,-0.0007216968,22,19548,19408
330,3.5609159470,-6.0272979736,0.0214018300,-0.0361301899,0.1388936043,-0.0008005705,22,19548,19408
340,3.5622551441,-6.0308308601,0.0213168152,-0.0347909927,0.1353607178,-0.0008855853,22,19548,19408
350,3.5622596741,-6.0308370590,0.0212244429,-0.0347864628,0.1353545189,-0.0009779576,22,19548,19408
360,3.5669069290,-6.0484886169,0.0210871138,-0.0301392078,0.1177029610,-0.0011152867,21,19548,19408
370,3.5651891232,-6.0429148674,0.0209820531,-0.0318570137,0.1232767105,-0.0012203474,21,19548,19408
380,3.5666680336,-6.0480785370,0.0208778195,-0.0303781033,0.1181130409,-0.0013245810,21,19548,19408
390,3.5668148994,-6.0462603569,0.0207667369,-0.0302312374,0.1199312210,-0.0014356636,21,19553,19408
400,3.5668110847,-6.0462646484,0.0206516813,-0.0302350521,0.1199269295,-0.0015507191,21,19553,19408
410,3.5667524338,-6.0460224152,0.0218953881,-0.0302937031,0.1201691628,-0.0003070123,24,19553,19408
420,3.5667514801,-6.0460209846,0.0218481701,-0.0302946568,0.1201705933,-0.0003542304,24,19553,19408
430,3.5667507648,-6.0460214615,0.0217967294,-0.0302953720,0.1201701164,-0.0004056711,24,19553,19408
440,3.5668151379,-6.0462002754,0.0217415169,-0.0302309990,0.1199913025,-0.0004608836,24,19553,19408
450,3.5640635490,-6.0400452614,0.0218114667,-0.0329825878,0.1261463165,-0.0003909338,22,19553,19408
460,3.5612766743,-6.0316748619,0.0217614807,-0.0357694626,0.1345167160,-0.0004409198,22,19553,19408
470,3.5599789619,-6.0238142014,0.0216998830,-0.0370671749,0.1423773766,-0.0005025174,22,19553,19408
480,3.5600333214,-6.0240111351,0.0216302518,-0.0370128155,0.1421804428,-0.0005721487,22,19553,19408
490,3.5590295792,-6.0201287270,0.0215639751,-0.0380165577,0.1460628510,-0.0006384254,21,19553,19408
500,3.5543854237,-6.0005340576,0.0212480649,-0.0426607132,0.1656575203,-0.0009543356,21,19553,19408
510,3.5518679619,-5.9918594360,0.0211670864,-0.0451781750,0.1743321419,-0.0010353141,21,19553,19408
520,3.5538094044,-5.9953889847,0.0210768059,-0.0432367325,0.1708025932,-0.0011255946,21,19553,19408
530,3.5532627106,-5.9951567650,0.0209831763,-0.0437834263,0.1710348129,-0.0012192242,21,19553,19408
540,3.5513010025,-5.9933891296,0.0209371466,-0.0457451344,0.1728024483,-0.0012652539,21,19553,19408
550,3.5512995720,-5.9933919907,0.0208376888,-0.0457465649,0.1727995872,-0.0013647117,21,19553,19408
560,3.5514984131,-5.9976139069,0.0207433570,-0.0455477238,0.1685776711,-0.0014590435,21,19553,19408
570,3.5498266220,-5.9925103188,0.0206388906,-0.0472195148,0.1736812592,-0.0015635099,21,19553,19408
580,3.5525228977,-6.0011873245,0.0223207735,-0.0445232391,0.1650042534,0.0001183730,25,19553,19408
590,3.5525217056,-6.0011920929,0.0223142076,-0.0445244312,0.1649994850,0.0001118071,25,19553,19408
600,3.5510370731,-5.9948210716,0.0223033745,-0.0460090637,0.1713705063,0.0001009740,25,19553,19408
610,3.5510380268,-5.9948229790,0.0222915057,-0.0460081100,0.1713685989,0.0000891052,25,19553,19408
621,3.5494434834,-5.9894957542,0.0222705882,-0.0476026535,0.1766958237,0.0000681877,25,19553,19408
630,3.5515286922,-5.9950785637,0.0217262451,-0.0455174446,0.1711130142,-0.0004761554,21,19553,19408
640,3.5502572060,-5.9939389229,0.0216746349,-0.0467889309,0.1722526550,-0.0005277656,21,19553,19410
650,3.5518507957,-5.9995017052,0.0216189027,-0.0451953411,0.1666898727,-0.0005834978,21,19553,19410
660,3.5520033836,-5.9990119934,0.0215567164,-0.0450427532,0.1671795845,-0.0006456841,21,19553,19410
670,3.5505669117,-5.9967203140,0.0225197598,-0.0464792252,0.1694712639,0.0003173593,24,19553,19410
680,3.5515711308,-5.9966011047,0.0225098003,-0.0454750061,0.1695904732,0.0003073998,24,19553,19410
690,3.5549883842,-6.0057001114,0.0224967245,-0.0420577526,0.1604914665,0.0002943240,24,19553,19410
700,3.5507993698,-5.9905710220,0.0224680547,-0.0462467670,0.1756205559,0.0002656542,24,19553,19410
710,3.5515215397,-5.9941868782,0.0224436391,-0.0455245972,0.1720046997,0.0002412386,24,19553,19410
720,3.5503387451,-5.9899606705,0.0222296603,-0.0467073917,0.1762309074,0.0000272598,22,19553,19410
730,3.5539937019,-6.0004944801,0.0221950188,-0.0430524349,0.1656970978,-0.0000073817,22,19553,19410
740,3.5610942841,-6.0194373131,0.0221643783,-0.0359518528,0.1467542648,-0.0000380222,22,19553,19410
750,3.5618338585,-6.0199728012,0.0221200287,-0.0352122784,0.1462187767,-0.0000823718,22,19553,19410
760,3.5608444214,-6.0180473328,0.0220448244,-0.0362017155,0.1481442451,-0.0001575761,22,19553,19410
770,3.5615129471,-6.0249829292,0.0219900552,-0.0355331898,0.1412086487,-0.0002123453,22,19553,19410
780,3.5627708435,-6.0290927887,0.0219343305,-0.0342752934,0.1370987892,-0.0002680700,22,19553,19410
790,3.5626604557,-6.0273637772,0.0218733046,-0.0343856812,0.1388278008,-0.0003290959,22,19553,19410
800,3.5627231598,-6.0275645256,0.0218042899,-0.0343229771,0.1386270523,-0.0003981106,22,19553,19410
810,3.5626914501,-6.0274200439,0.0230578333,-0.0343546867,0.1387715340,0.0008554328,25,19553,19410
820,3.5584867001,-6.0145707130,0.0230476093,-0.0385594368,0.1516208649,0.0008452088,25,19553,19410
830,3.5612099171,-6.0239720345,0.0230480768,-0.0358362198,0.1422195435,0.0008456763,25,19553,19410
840,3.5585269928,-6.0160093307,0.0230408888,-0.0385191441,0.1501822472,0.0008384883,25,19553,19410
850,3.5579681396,-6.0152063370,0.0234288629,-0.0390779972,0.1509852409,0.0012264624,24,19553,19410
860,3.5569450855,-6.0143008232,0.0234371293,-0.0401010513,0.1518907547,0.0012347288,24,19553,19410
870,3.5569477081,-6.0143041611,0.0234373584,-0.0400984287,0.1518874168,0.0012349579,24,19553,19410
880,3.5589964390,-6.0214762688,0.0234386567,-0.0380496979,0.1447153091,0.0012362562,24,19553,19410
890,3.5589959621,-6.0214753151,0.0234303866,-0.0380501747,0.1447162628,0.0012279861,24,19553,19410
900,3.5575611591,-6.0206847191,0.0215314422,-0.0394849777,0.1455068588,-0.0006709583,19,19544,19410
