Time,X,Y,Z,Gas1L,Gas1R
0,0.0231973231,-0.0238853954,0.0349684320,19628,19475
10,0.0227810983,-0.0230914932,0.0384028479,19628,19475
20,0.0217018388,-0.0241813157,0.0388888456,19628,19475
30,0.0218497645,-0.0229794811,0.0372397713,19628,19475
40,0.0211980809,-0.0238867626,0.0398288779,19628,19475
50,0.0241582971,-0.0242136735,0.0432354882,19628,19475
60,0.0251216460,-0.0246298444,0.0426914245,19628,19475
70,0.0254695620,-0.0246979669,0.0412492305,19628,19475
80,0.0231619012,-0.0238610804,0.0519857481,19628,19475
90,0.0253084991,-0.0251248144,0.0694702640,19628,19475
100,0.0238503516,-0.0245000608,0.0820094943,19628,19475
110,0.0239261594,-0.0243429560,0.0629174039,19628,19475
120,0.0253515262,-0.0258121192,0.0673593506,19628,19475
130,0.0259729363,-0.0249976236,0.0730857477,19628,19475
140,0.0259454809,-0.0250270199,0.0764352009,19628,19475
150,0.0241889395,-0.0250318442,0.0797593147,19628,19475
160,0.0241102166,-0.0242067277,0.0628217384,19628,19475
170,0.0248124506,-0.0245787092,0.0668057129,19628,19475
180,0.0255796686,-0.0251453146,0.0673561022,19628,19475
190,0.0252626445,-0.0255808681,0.0694271922,19628,19475
200,0.0246521290,-0.0245200377,0.0550653264,19628,19475
210,0.0219219234,-0.0244326368,0.0516377836,19628,19475
220,0.0198378507,-0.0243161879,0.0432283357,19628,19475
230,0.0199454874,-0.0239869356,0.0565836392,19628,19475
240,0.0199837722,-0.0251712445,0.0480283014,19629,19475
250,0.0208949111,-0.0245843623,0.0490974635,19629,19475
260,0.0203032568,-0.0241850037,0.0502948798,19629,19475
270,0.0210648738,-0.0239530094,0.0490647219,19629,19475
280,0.0208433587,-0.0239306726,0.0498461723,19629,19475
290,0.0201002974,-0.0254246220,0.0399054736,19629,19475
300,0.0216644704,-0.0232787430,0.0508265272,19629,19475
310,0.0218613893,-0.0233743954,0.0533757024,19629,19475
320,0.0260734428,-0.0232399423,0.0421199575,19629,19475
330,0.0264445674,-0.0230348762,0.0439830348,19629,19475
340,0.0267637819,-0.0231383666,0.0481916815,19629,19475
350,0.0269711595,-0.0229637623,0.0498126075,19629,19475
360,0.0271827355,-0.0230879802,0.0501696952,19629,19475
