Time,X,Y,Z,Zrange,Gas1L,Gas1R
0,0.0065174778,0.0631473362,0.0712973773,17,18330,18111
10,0.0088439286,0.0573993474,0.0517356545,12,18330,18111
20,0.0079317726,0.0574928448,0.0503205247,12,18330,18111
30,0.0083076637,0.0565306544,0.0468037426,12,18330,18091
40,0.0095074549,0.0559981912,0.0457290746,12,18330,18091
50,0.0099801552,0.0552210622,0.0430915058,12,18330,18091
60,0.0103832223,0.0509600975,0.0290570147,13,18330,18091
70,0.0116175823,0.0584367625,0.0422361381,13,18330,18091
80,0.0127857504,0.0562304221,0.0440217927,13,18330,18091
90,0.0133606996,0.0583564602,0.0444732606,13,18330,18091
100,0.0134160873,0.0543216579,0.0347255953,14,18330,18091
110,0.0142798275,0.0520402975,0.0313133262,14,18330,18091
120,0.0125041399,0.0540586449,0.0317193083,14,18330,18091
130,0.0140830576,0.0566894822,0.0398360826,14,18330,18091
140,0.0137075912,0.0575178340,0.0390400626,12,18330,18091
150,0.0166104157,0.0500101186,0.0319803581,12,18330,18091
160,0.0146414749,0.0526554175,0.0386558995,12,18330,18091
170,0.0133142686,0.0554747581,0.0407745242,12,18330,18091
180,0.0133811943,0.0549309328,0.0374700911,12,18330,18091
190,0.0141461231,0.0523379520,0.0260293931,15,18330,18091
200,0.0140917636,0.0509331115,0.0213885773,15,18330,18091
210,0.0153237469,0.0460327379,0.0179980136,15,18330,18091
220,0.0137862479,0.0461297259,0.0169398524,15,18330,18091
230,0.0146168685,0.0480147712,0.0246320032,12,18330,18091
240,0.0108578457,0.0499306694,0.0300316289,12,18330,18091
250,0.0117595466,0.0500159115,0.0317808464,12,18330,18091
260,0.0141246989,0.0522922687,0.0223919339,12,18330,18091
270,0.0155860055,0.0528434664,0.0140203293,12,18330,18091
280,0.0140541699,0.0534369461,0.0177911203,13,18338,18091
290,0.0146946209,0.0539848991,0.0119258324,13,18338,18091
300,0.0151336482,0.0543263480,0.0080373809,13,18338,18091
310,0.0162866674,0.0554815978,0.0020089145,13,18338,18091
320,0.0166876130,0.0576794222,-0.0014449656,13,18338,18091
330,0.0199405327,0.0583462603,-0.0169429444,13,18338,18091
340,0.0219373219,0.0576329678,-0.0320188813,13,18338,18091
350,0.0159792379,0.0642055571,-0.0093525928,13,18338,18091
361,0.0130670238,0.0708545297,0.0017652190,13,18338,18091
370,0.0128517421,0.0727849379,-0.0003150511,13,18338,18091
380,0.0112522999,0.0769046545,0.0087955706,13,18338,18091
391,0.0109611508,0.0790524259,0.0096218279,13,18338,18091
400,0.0111008435,0.0809299350,0.0092161018,13,18338,18091
410,0.0104411831,0.0828544497,0.0115528516,12,18338,18091
420,0.0108510107,0.0834558755,0.0133943725,12,18338,18091
430,0.0094021084,0.0839618593,0.0167270359,12,18338,18091
440,0.0077331518,0.0903807506,0.0241899509,12,18338,18091
450,0.0077945124,0.0888858363,0.0240427312,12,18338,18091
460,0.0081155505,0.0922056139,0.0301175769,12,18338,18091
470,0.0041243020,0.1025302112,0.0422712266,12,18338,18091
480,0.0036608949,0.1072346941,0.0523449890,12,18338,18091
