Time,X,Y,Z,Zrange,Gas1L,Gas1R
0,-0.0000071078,-0.0005183028,-0.7462186813,19,17511,17394
10,-0.0000107958,-0.0010545760,-0.6098965406,19,17511,17394
20,-0.0002285111,-0.0046932166,0.0315979905,18,17511,17394
30,-0.0008308005,-0.0048825778,0.0429120176,18,17511,17394
40,-0.0001816732,-0.0060221399,0.0464554317,18,17511,17394
50,-0.0005124478,-0.0054092538,0.0440530665,18,17511,17394
60,-0.0005328254,-0.0054170415,0.0432122350,16,17498,17394
70,-0.0018227746,0.0002431669,0.0110807717,16,17498,17394
80,-0.0032319028,0.0003586162,0.0282611270,16,17498,17394
90,-0.0036302342,0.0002982941,0.0468059219,16,17498,17394
100,-0.0039456710,0.0009128234,0.0500324368,16,17498,17394
110,-0.0028220434,0.0024382479,0.0418189690,16,17498,17394
120,-0.0030507417,0.0020855418,0.0475683659,16,17498,17394
130,-0.0023829045,0.0023343756,0.0468951501,16,17498,17394
140,-0.0055509019,0.0033220667,0.0552909486,16,17498,17394
150,-0.0028786235,0.0027747101,0.0567676611,20,17498,17394
160,-0.0045482870,0.0045956373,0.0663518086,20,17498,17394
170,-0.0054478832,0.0046772980,0.0679306388,20,17498,17394
180,-0.0049023191,0.0053284182,0.0718482286,20,17498,17394
190,-0.0039487523,0.0054059038,0.0734801590,20,17498,17394
200,-0.0056501622,0.0057313093,0.0640232638,21,17498,17394
210,-0.0047188899,0.0064008115,0.0727900639,21,17498,17394
220,-0.0049579293,0.0061535332,0.0753133222,21,17498,17394
230,-0.0026854952,0.0052749999,0.0754084066,21,17498,17394
240,-0.0050572823,0.0033762818,0.0657134056,19,17498,17394
250,-0.0021846218,0.0048253653,0.0734595358,19,17498,17394
260,-0.0047491887,0.0061938977,0.0854844451,19,17498,17394
270,-0.0044979365,0.0058801407,0.0887026042,19,17498,17394
280,-0.0057678511,0.0057715387,0.0899712220,19,17498,17394
290,-0.0008282901,0.0063329209,0.0766134188,19,17498,17394
300,-0.0048538619,0.0086074108,0.1105134785,19,17498,17394
310,-0.0039170436,0.0080434792,0.1163109764,19,17498,17375
320,-0.0038958236,0.0080865044,0.1198859066,19,17498,17375
330,-0.0040227654,0.0036526727,0.0829791948,17,17498,17375
340,-0.0048964876,0.0058805943,0.0865560174,17,17498,17375
350,-0.0048623900,0.0056930790,0.0892613232,17,17498,17375
360,-0.0034228177,0.0052857362,0.0922460929,17,17498,17375
370,-0.0037203485,0.0050794729,0.0945185721,17,17498,17375
380,-0.0049781227,0.0034343067,0.0667555630,17,17498,17375
390,-0.0049563171,0.0034319973,0.0669437721,17,17498,17375
400,-0.0028016772,0.0050923140,0.0681119710,17,17498,17375
410,-0.0027553057,0.0032979778,0.0769875050,17,17498,17375
420,-0.0047870716,0.0029114406,0.0587563217,18,17498,17375
