Time,X,Y,Z,Gas1L,Gas1R
0,-0.0002587528,-0.0006060397,0.0337756537,18424,18276
100,-0.0001817778,-0.0001291629,0.0352377519,18425,18276
200,-0.0001752942,-0.0001098927,0.0333646387,18425,18276
300,-0.0005290258,-0.0004545004,0.0403316356,18425,18274
400,0.0000160723,-0.0002179498,0.0374634527,18425,18274
500,-0.0007217837,-0.0004525473,0.0397869870,18425,18274
600,-0.0008783230,0.0005442975,0.0310642160,18431,18274
700,-0.0008021013,0.0007591586,0.0266753454,18431,18274
800,-0.0007410295,0.0004767686,0.0257167667,18431,18274
900,0.0007447267,-0.0003835885,0.0444689319,18431,18274
1000,-0.0006479543,0.0002178480,0.0571802333,18431,18274
1100,0.0000876224,-0.0008635300,0.0369926840,18428,18274
1200,-0.0006108073,0.0003528945,0.0342143066,18428,18274
1300,0.0001796670,-0.0008406432,0.0264089126,18428,18271
1400,-0.0004884327,0.0003087352,0.0297633950,18428,18271
1500,0.0004814605,-0.0003710266,0.0237879865,18428,18271
1600,-0.0003776889,0.0002945423,0.0224801470,18433,18271
1700,0.0001367844,-0.0010501040,0.0404368602,18433,18271
1800,0.0004592468,-0.0006012799,0.0359386541,18433,18279
1900,-0.0002162467,0.0001424856,0.0295542572,18433,18279
2000,-0.0001520030,0.0000341716,0.0346223116,18433,18279
2100,-0.0000719787,0.0002811713,0.0639795139,18429,18279
2200,-0.0002037086,0.0004177754,0.0471615009,18429,18279
2300,-0.0005283711,0.0005741420,0.0268206615,18429,18276
2400,-0.0000590344,0.0005855117,0.0296477117,18429,18276
2500,0.0009905896,-0.0002607765,0.0189287886,18429,18276
2600,0.0001860256,0.0003971850,0.0293843355,18427,18276
2700,-0.0005642709,0.0012254384,0.0205791891,18427,18276
2800,0.0003778844,0.0001886736,0.0231194198,18427,18278
2900,0.0011979875,-0.0004177791,0.0353771932,18427,18278
3000,0.0003823079,0.0004703828,0.0410376899,18427,18278
3100,-0.0001862504,0.0009686061,0.0318876691,18431,18278
3200,0.0004906958,0.0004294828,0.0239837039,18431,18278
3300,0.0000522943,0.0007925095,0.0286778659,18431,18276
3400,0.0001766666,0.0007505798,0.0443841740,18431,18276
3500,0.0009581798,-0.0004462200,0.0378789976,18431,18276
3600,0.0010840764,-0.0001202512,0.0460033305,18430,18276
3700,0.0009025126,0.0001911726,0.0325196683,18430,18276
3800,0.0003998569,0.0000456100,0.0244266465,18430,18276
3900,0.0002388612,0.0007094778,0.0249495674,18430,18276
4000,0.0019115478,-0.0009095983,0.0391612761,18430,18276
4100,0.0003120838,0.0003888183,0.0472546816,18435,18276
4200,0.0004719316,0.0002889185,0.0599247664,18435,18276
4300,0.0003770478,-0.0000802961,0.0430780984,18435,18279
4400,-0.0038146423,0.0029560395,0.0510377623,18435,18279
4500,-0.0077215168,-0.0013514720,0.0294563994,18435,18279
4600,-0.0411378704,0.0167325903,0.0528851934,18443,18279
4700,-0.0546338409,0.0385698453,0.0788786411,18443,18279
4800,-0.0085931122,0.0326769240,0.0333771668,18443,18297
4900,-0.0041327314,0.0435482860,0.0348508358,18443,18297
5000,-0.0311878454,0.0552707203,0.0323410407,18443,18297
5100,-0.0274305996,0.0363646336,0.0255320147,18476,18297
5200,-0.0214170758,0.0382366106,0.0459337607,18476,18297
5300,-0.0148455333,0.0198805071,0.0392323099,18476,18325
5400,-0.0119505683,0.0078953244,0.0490403846,18476,18325
5500,-0.0160638299,0.0086735357,0.0653455928,18476,18325
5600,-0.0189721696,0.0143695660,0.0902229920,18493,18325
5700,-0.0185532663,0.0196254402,0.1122087538,18493,18325
5800,-0.0223914851,0.0229405798,0.1332506686,18493,18342
5900,-0.0167348310,0.0260306206,0.1542897671,18493,18342
6000,-0.0143968919,0.0281014685,0.1675833464,18493,18342
6100,-0.0041533238,0.0230295975,0.1845269054,18500,18342
6200,-0.0052650245,0.0216692109,0.1931996047,18500,18342
6300,-0.0044067805,0.0171894208,0.2054998428,18500,18352
6400,-0.0061059301,0.0150220292,0.2198828906,18500,18352
6500,-0.0094036777,0.0140492218,0.2356080711,18500,18352
6600,-0.0116850510,0.0145984096,0.2507178783,18504,18352
6700,-0.0148233576,0.0171709340,0.2643963099,18504,18352
6800,-0.0162067134,0.0184398945,0.2776196301,18504,18350
6900,-0.0153797958,0.0180607159,0.2863120735,18504,18350
7000,-0.0147965830,0.0185944401,0.2915606201,18504,18350
7100,-0.0147091346,0.0187247526,0.2956861556,18510,18350
7200,-0.0101656495,0.0190466158,0.2971316874,18510,18350
7300,-0.0086957524,0.0198488403,0.2993033230,18510,18356
7400,-0.0062102885,0.0193970632,0.2999466062,18510,18356
7500,-0.0055850237,0.0187916066,0.3058156669,18510,18356
7600,-0.0059380387,0.0178234838,0.3101434410,18514,18356
7700,-0.0074161980,0.0176839847,0.3157410026,18514,18356
7800,-0.0082414551,0.0180175658,0.3168206215,18514,18358
7900,-0.0089638177,0.0169126764,0.3189333677,18514,18358
8000,-0.0094732884,0.0170820933,0.3186101913,18514,18358
8100,-0.0100642862,0.0166345071,0.3243633211,18521,18358
8200,-0.0084407814,0.0170893371,0.3249108493,18521,18358
8300,-0.0104572391,0.0165278278,0.3255310953,18521,18365
8400,-0.0097189331,0.0147822192,0.3233725429,18521,18365
8500,-0.0105887568,0.0088265082,0.3281926811,18521,18365
8600,-0.0107064219,0.0074930661,0.3311496973,18526,18365
8700,-0.0106581459,0.0087702498,0.3342990577,18526,18365
8800,-0.0099896584,0.0101455748,0.3369405568,18526,18376
8900,-0.0077941315,0.0148049640,0.3367315531,18526,18376
9000,-0.0040579257,0.0192548055,0.3354078829,18526,18376
9100,0.0031387603,0.0262791179,0.3359929919,18532,18376
9200,0.0109551987,0.0388998687,0.3376727700,18532,18376
9300,0.0220310297,0.0552147664,0.3373638690,18532,18374
9400,0.0352322869,0.0649458095,0.3361247778,18532,18374
9500,0.0530851819,0.0791819915,0.3360107839,18532,18374
9600,0.0672731176,0.0899635702,0.3340626359,18541,18374
9700,0.0828244835,0.1011755094,0.3319661915,18541,18374
9800,0.0949649513,0.1169517562,0.3331979513,18541,18374
9900,0.1044371948,0.1319905967,0.3355712891,18541,18374
10000,0.1148911268,0.1462939680,0.3380308747,18541,18374
10100,0.1220617741,0.1553243101,0.3390084207,18546,18374
10200,0.1266521811,0.1611746848,0.3374327719,18546,18374
10300,0.1306660473,0.1648841798,0.3342677951,18546,18376
10400,0.1320720762,0.1673534811,0.3300752342,18546,18376
10500,0.1331728697,0.1663810313,0.3286655843,18546,18376
10600,0.1355101913,0.1638703048,0.3311065435,18545,18376
10700,0.1417309791,0.1633971781,0.3342335224,18545,18376
10800,0.1505343616,0.1628469527,0.3363384008,18545,18381
10900,0.1674516499,0.1639036685,0.3392505646,18545,18381
11000,0.1824414879,0.1661227196,0.3364061415,18545,18381
11100,0.2009012997,0.1677158326,0.3344263732,18547,18381
11200,0.2176988125,0.1713189483,0.3328213096,18547,18381
11300,0.2288367152,0.1723714769,0.3331274688,18547,18381
11400,0.2342224121,0.1726646274,0.3308676779,18547,18381
11500,0.2378780097,0.1736774743,0.3310857415,18547,18381
11600,0.2388624698,0.1759658307,0.3305127621,18546,18381
11700,0.2365226448,0.1764707416,0.3284345567,18546,18381
11800,0.2355283201,0.1766330004,0.3293785155,18546,18381
11900,0.2337768972,0.1785981804,0.3299460709,18546,18381
12000,0.2325496078,0.1782211363,0.3314724267,18546,18381
12100,0.2318601608,0.1795134097,0.3332172334,18548,18381
12200,0.2319499254,0.1804178208,0.3298326433,18548,18381
12300,0.2322672606,0.1804414243,0.3283048868,18548,18388
12400,0.2318540663,0.1823043823,0.3244832456,18548,18388
12500,0.2330293208,0.1832762510,0.3225001097,18548,18388
12600,0.2356432527,0.1864368320,0.3240909874,18518,18388
12700,0.2407329828,0.1872794330,0.3251476884,18518,18388
12800,0.2494456470,0.1868989468,0.3275734186,18518,18386
12900,0.2636732161,0.1855532825,0.3275171518,18518,18386
13000,0.2806625664,0.1845483780,0.3243957162,18518,18386
13100,0.2963536680,0.1847651601,0.3241302967,18459,18386
13200,0.3109931648,0.1862917095,0.3218525946,18459,18386
13300,0.3242019415,0.1869402379,0.3215976954,18459,18386
13400,0.3318955302,0.1894145757,0.3233753741,18459,18386
13500,0.3347446322,0.1912479401,0.3226630986,18459,18386
13600,0.3362826407,0.1905435473,0.3197031319,18421,18386
13700,0.3343596756,0.1921919435,0.3165118098,18421,18386
