Time,X,Y,Z,Gas1L,Gas1R
0,0.0006265871,0.0004861467,0.0251276195,19134,19001
100,-0.0006013638,0.0004920180,0.0373979248,19134,19009
200,0.0004293052,0.0002606061,0.0357522555,19134,19009
300,0.0005274802,-0.0002111235,0.0297267884,19134,19009
400,0.0004525167,0.0002657468,0.0310933199,19137,19009
500,0.0003570371,-0.0000040055,0.0365470648,19137,19009
600,0.0003553325,0.0002948503,0.0309706703,19137,19007
700,-0.0012883956,0.0010179215,0.0391421057,19137,19007
800,0.0002181190,0.0000915312,0.0282773636,19137,19007
900,0.0002470584,0.0003319996,0.0259068888,19127,19007
1000,0.0001290033,-0.0001319496,0.0337697938,19127,19007
1100,0.0001749032,0.0000650872,0.0330562927,19127,19006
1200,0.0001322141,0.0002893903,0.0377309211,19127,19006
1300,0.0001311330,0.0000547209,0.0350394286,19127,19006
1400,-0.0010409761,0.0005687480,0.0467244014,19131,19006
1500,-0.0002101962,0.0003298346,0.0325446315,19131,19006
1600,0.0000061668,0.0003443638,0.0315311551,19131,19006
1700,-0.0000573929,0.0003459090,0.0342141092,19131,19006
1800,-0.0002582952,0.0003622608,0.0276710857,19131,19006
1900,-0.0020952285,0.0010015889,0.0326110870,19130,19006
2000,-0.0000381468,0.0003303464,0.0278658979,19130,19006
2100,0.0006278288,-0.0007591647,0.0294993334,19130,19023
2200,0.0015231320,-0.0005048636,0.0307641849,19130,19023
2300,-0.0004149123,0.0001232488,0.0325455926,19130,19023
2400,0.0005944012,-0.0004354774,0.0370455310,19128,19023
2500,0.0004853593,-0.0002859510,0.0272378400,19128,19023
2600,-0.0008163432,0.0000501861,0.0258212183,19128,19016
2700,0.0012437698,-0.0002104288,0.0349959135,19128,19016
2800,0.0012615775,-0.0002034045,0.0360437408,19128,19016
2900,-0.0008494517,0.0010057706,0.0273138080,19125,19016
3000,0.0012353192,-0.0006620471,0.0332176201,19125,19016
3100,0.0002088372,0.0001084797,0.0352980271,19125,19019
3200,-0.0007665895,0.0001185848,0.0346212499,19125,19019
3300,0.0002210164,-0.0001202124,0.0297818892,19125,19019
3400,0.0004175149,-0.0003479205,0.0360183716,19133,19019
3500,0.0001893407,-0.0003141116,0.0320326500,19133,19019
3600,0.0011190611,-0.0003100579,0.0374933556,19133,19017
3700,-0.0009928984,0.0004063613,0.0351120234,19133,19017
3800,-0.0007399033,-0.0000637878,0.0318383984,19133,19017
3900,0.0009718249,-0.0003556587,0.0394244343,19134,19017
4000,0.0002751831,-0.0000731727,0.0283072256,19134,19017
4100,0.0012163026,-0.0005691727,0.0304477606,19134,19020
4200,0.0003796171,-0.0003341027,0.0471798070,19134,19020
4300,-0.0034779261,0.0007945555,0.0606276356,19134,19020
4400,-0.0081974454,0.0022910431,0.0400447845,19135,19020
4500,-0.0276252385,0.0088997101,0.0471902899,19135,19020
4600,-0.0242703818,0.0060538310,0.0366727933,19135,19030
4700,-0.0235785060,0.0054661208,0.0376449749,19135,19030
4800,-0.0227369089,0.0047519039,0.0275749341,19135,19030
4900,-0.0190064721,0.0069636772,0.0293247085,19161,19030
5000,-0.0203151256,0.0106463116,0.0242819842,19161,19030
5100,-0.0135277733,0.0073914076,0.0128339045,19161,19043
5200,-0.0209248085,0.0112021333,0.0712653920,19161,19043
5300,-0.0264930502,0.0084111085,0.0895204991,19161,19043
5400,-0.0243612882,0.0033171619,0.1131077707,19178,19043
5500,-0.0182016343,0.0043999623,0.1032209247,19178,19043
5600,-0.0126592880,0.0045084050,0.1095705703,19178,19065
5700,-0.0104254885,0.0052771904,0.1164793298,19178,19065
5800,-0.0078866603,0.0035020956,0.1339688450,19178,19065
5900,-0.0018808799,0.0044982410,0.1535641402,19195,19065
6000,-0.0054789172,0.0080791274,0.1749452055,19195,19065
6100,-0.0100531653,0.0085598603,0.1992677748,19195,19070
6200,-0.0120563321,0.0068391901,0.2179312706,19195,19070
6300,-0.0097060474,0.0005431591,0.2371887863,19195,19070
6400,-0.0057419059,0.0021745833,0.2509224117,19202,19070
6500,-0.0021482098,0.0028076214,0.2577803135,19202,19070
6600,0.0016604250,0.0029718382,0.2662604749,19202,19063
6700,0.0055090459,0.0036626747,0.2723485827,19202,19063
6800,0.0090596592,0.0039227060,0.2775003314,19202,19063
6900,0.0119579034,0.0047975653,0.2848795056,19215,19063
7000,0.0130725419,0.0055551920,0.2884418964,19215,19063
7100,0.0142352395,0.0054955897,0.2933582664,19215,19072
7200,0.0146676842,0.0039399154,0.2973628044,19215,19072
7300,0.0153125506,0.0026233755,0.3024688661,19215,19072
7400,0.0155504039,0.0015933730,0.3044629991,19224,19072
7500,0.0160517897,-0.0022725982,0.3057343364,19224,19072
7600,0.0144487396,-0.0044992976,0.3073737621,19224,19085
7700,0.0147916386,-0.0058631804,0.3083332479,19224,19085
7800,0.0155599723,-0.0063883392,0.3081592023,19224,19085
