Time,X,Y,Z,Gas1L,Gas1R
0,0.0005520086,-0.0000973079,0.0273072664,19762,19823
100,0.0007673488,-0.0001151662,0.0461482406,19762,19823
200,-0.0003437815,0.0005031857,0.0396159552,19762,19823
300,0.0009284209,0.0000125311,0.0387549251,19771,19823
400,0.0006162174,0.0006028066,0.0319451243,19771,19823
500,-0.0014090795,0.0008311070,0.0300053172,19771,19823
600,-0.0007912434,0.0013278908,0.0415072031,19771,19823
700,-0.0003030832,0.0007099888,0.0692672655,19771,19823
800,-0.0013639698,0.0013217375,0.0381280854,19776,19823
900,-0.0003493747,0.0006007975,0.0349624306,19776,19823
1000,-0.0001689889,0.0000040916,0.0557974391,19776,19813
1100,-0.0016819204,0.0005515727,0.0391889140,19776,19813
1200,-0.0001637248,0.0000438678,0.0389815718,19776,19813
1300,-0.0012015043,0.0001266590,0.0329318754,19762,19813
1400,0.0003234336,0.0001489436,0.0257030241,19762,19813
1500,-0.0015490192,0.0008392897,0.0280567333,19762,19818
1600,-0.0015951950,0.0008435150,0.0299875587,19762,19818
1700,-0.0014295259,0.0010818653,0.0431722999,19762,19818
1800,-0.0016346923,0.0008153070,0.0448564067,19757,19818
1900,-0.0006072532,0.0000920295,0.0368268900,19757,19818
2000,-0.0015977512,0.0023416758,0.0305864196,19757,19820
2100,0.0026009358,-0.0019010883,0.0422556065,19757,19820
2200,0.0026915383,-0.0012534098,0.0404274203,19757,19820
2300,0.0011629259,-0.0009475119,0.0351199210,19763,19820
2400,0.0023098020,-0.0016087391,0.0335017815,19763,19820
2500,0.0008856714,-0.0009008521,0.0370242111,19763,19813
2600,0.0014521881,-0.0003996460,0.0262515061,19763,19813
2700,0.0024100030,-0.0015758467,0.0273569226,19763,19813
2800,0.0015294158,-0.0005750683,0.0334796868,19759,19813
2900,0.0008220205,-0.0014339838,0.0491456799,19759,19813
3000,0.0004522055,-0.0001505744,0.0305708069,19759,19807
3100,0.0016468937,-0.0013725254,0.0311644468,19759,19807
