Time,X,Y,Z,Gas1L,Gas1R
0,0.0018739332,-0.0010151268,0.0515350774,19633,19762
500,0.0003169014,-0.0000219811,0.0501044095,19636,19768
1000,0.0004951659,0.0006982906,0.0280020945,19634,19763
1500,0.0023311696,-0.0003612076,0.0577926748,19639,19763
2000,0.0018302336,0.0000363860,0.0335569754,19636,19757
2500,0.0014071524,-0.0006500197,0.0359311774,19639,19758
3000,0.0016030818,-0.0011302512,0.0405959710,19639,19763
3500,-0.0006824367,0.0009557861,0.0345480926,19635,19760
4000,-0.0110440850,0.0114459442,0.0480339639,19648,19760
4500,-0.0009075585,0.0081117488,0.0088256169,19650,19768
5000,-0.0029925578,0.0045849495,0.0400719717,19681,19778
5500,0.0134532927,-0.0020274632,0.1587312818,19693,19783
6000,0.0092478115,-0.0096487338,0.2302578688,19703,19796
6500,0.0185485426,-0.0023951072,0.2916015685,19713,19811
7000,0.0301455185,0.0048974589,0.2994564176,19729,19819
7500,0.0280996803,0.0009760758,0.3185211718,19732,19821
8000,0.0249840226,0.0118837869,0.3291562200,19747,19827
8500,0.0313895158,0.0074342489,0.3322915435,19754,19835
9000,0.0660981983,0.0556224473,0.3345332444,19767,19848
9500,0.1403487474,0.1180946231,0.3405248821,19769,19850
10000,0.1771566868,0.1622691900,0.3319278955,19786,19869
10500,0.2061708719,0.1622803956,0.3352410495,19795,19878
11000,0.3071217239,0.1612994671,0.3322018683,19802,19881
11500,0.4083077013,0.1595799029,0.3293308616,19810,19883
12000,0.5079524517,0.1654981375,0.3265161514,19824,19891
12500,0.6106948853,0.1706314981,0.3193097413,19825,19917
13000,0.7104958892,0.1734895259,0.3192870319,19831,19916
13500,0.8111293912,0.1740649939,0.3203338981,19844,19919
14000,0.9120614529,0.1716066748,0.3223340511,19855,19928
14500,1.0112172365,0.1778544784,0.3141719997,19862,19932
15000,1.1128679514,0.1779592782,0.3167390823,19872,19940
15500,1.2135258913,0.1715770960,0.3169779480,19885,19950
16000,1.3116800785,0.1740391105,0.3099544048,19887,19960
16500,1.4127956629,0.1716495305,0.3112719059,19893,19968
17000,1.5202488899,0.1727770716,0.3054463565,19903,19975
17500,1.6183135509,0.1675700843,0.3134087622,19909,19987
18000,1.6923022270,0.1599484384,0.3171163201,19919,19995
18500,1.8005622625,0.1710799336,0.3021808267,19922,19993
19000,1.9043866396,0.1813675761,0.3016777635,19933,19994
19500,1.9173777103,0.2712053359,0.3193295300,19938,20008
20000,1.9264539480,0.3792443275,0.3016194403,19944,20012
20500,1.9406599998,0.4701556563,0.3053862453,19947,20014
21000,1.9403680563,0.5536187291,0.3103716969,19964,20038
21500,1.8590596914,0.5769284368,0.2988580167,19966,20034
22000,1.7601788044,0.5795322657,0.3108612001,19971,20045
22500,1.6561516523,0.5803101063,0.3035790026,19968,20049
23000,1.5493870974,0.5792704821,0.3090930283,19981,20069
23500,1.4457792044,0.5839412808,0.3027592003,19989,20070
24000,1.3449873924,0.5832287073,0.3030420840,19993,20077
24500,1.2466359138,0.5860968828,0.3017106950,19999,20086
25000,1.1469478607,0.5804510713,0.3036466241,20007,20088
25500,1.0444009304,0.5737068653,0.3026545942,20005,20100
26000,0.9453961849,0.5687537789,0.3048349917,20008,20090
26500,0.8447196484,0.5713185072,0.3080775738,20020,20093
27000,0.7433878183,0.5692530274,0.2997949123,20016,20099
27500,0.6418055296,0.5722516775,0.2972914577,20022,20110
28000,0.5413216352,0.5705256462,0.3005813360,20033,20120
28500,0.4350555837,0.5650570393,0.3005376756,20039,20129
29000,0.3333629966,0.5615516901,0.3029472232,20042,20130
29500,0.2310740650,0.5603054166,0.3045125306,20054,20140
30000,0.1792016476,0.6051923037,0.3038739860,20058,20148
30500,0.1830995232,0.7107468843,0.3023594022,20061,20139
31000,0.1816042215,0.8170227408,0.3041046858,20065,20149
31500,0.1800108701,0.9220590591,0.3014548123,20076,20149
32000,0.2257182151,0.9776390791,0.2993547916,20071,20158
32500,0.3226691484,0.9771730900,0.3002785146,20088,20157
33000,0.4233301878,0.9775289893,0.3029541373,20084,20167
33500,0.5233749151,0.9791477919,0.3025181592,20092,20167
34000,0.6247468591,0.9846203923,0.3036930561,20088,20177
34500,0.7252486348,0.9867498875,0.3076812625,20098,20177
35000,0.8262448907,0.9851771593,0.3072136343,20097,20185
