Time,X,Y,Z,Gas1L,Gas1R
0,0.0187737644,-0.0069344784,0.0476893075,18587,18405
100,0.0188488495,-0.0054984153,0.0523964092,18587,18405
200,0.0247955956,-0.0095140040,0.0424294285,18590,18405
300,0.0279051177,-0.0090593202,0.0348318964,18590,18405
400,0.0280491915,-0.0088078314,0.0325653702,18590,18406
500,0.0268803351,-0.0084906779,0.0293802191,18590,18406
600,0.0284898747,-0.0087260250,0.0328890644,18590,18406
700,0.0264721811,-0.0084078461,0.0359119438,18585,18406
800,0.0280376971,-0.0093203560,0.0264026430,18585,18406
900,0.0279739257,-0.0094998144,0.0289621502,18585,18404
1000,0.0276891235,-0.0093097538,0.0249410272,18585,18404
1100,0.0280149616,-0.0103505803,0.0309139080,18585,18404
1200,0.0263842661,-0.0084828464,0.0265094135,18585,18404
1300,0.0272475146,-0.0089941230,0.0481388904,18585,18404
1400,0.0279216077,-0.0100194747,0.0279945154,18585,18396
1500,0.0275760945,-0.0091355657,0.0367257819,18585,18396
1600,0.0276001804,-0.0103416163,0.0423120297,18585,18396
1700,0.0256600603,-0.0083962558,0.0452342033,18581,18396
1800,0.0275566187,-0.0093515329,0.0299966335,18581,18396
1900,0.0277442224,-0.0102184257,0.0266154576,18581,18406
2000,0.0278894883,-0.0104112290,0.0299605504,18581,18406
2100,-0.0080968011,0.0188409258,0.0924942046,18581,18406
2200,-0.0052602738,0.0145482887,0.0506110340,18584,18406
2300,-0.0056681214,0.0135942614,0.0348021165,18584,18406
2400,-0.0061315061,0.0141399717,0.0292105079,18584,18405
2500,-0.0057123564,0.0123105887,0.0383108482,18584,18405
2600,-0.0052874843,0.0127045764,0.0303207282,18584,18405
2700,-0.0050883410,0.0123461317,0.0223271009,18583,18405
2800,-0.0058064479,0.0110284314,0.0563472286,18583,18405
2900,-0.0055866553,0.0116422698,0.0472603254,18583,18398
3000,-0.0045644180,0.0106696272,0.0404609628,18583,18398
3100,-0.0060070427,0.0127102230,0.0276496168,18583,18398
3200,-0.0045535439,0.0113384072,0.0353932269,18581,18398
3300,-0.0045036729,0.0103605269,0.0318264067,18581,18398
3400,-0.0052053123,0.0114551559,0.0359457135,18581,18406
3500,-0.0047738072,0.0101883020,0.0414757058,18581,18406
3600,-0.0049617472,0.0119437994,0.0302264001,18581,18406
3700,-0.0049406788,0.0116792442,0.0289076436,18582,18406
3800,-0.0061354409,0.0121337948,0.0310854837,18582,18406
3900,-0.0066476143,0.0123212617,0.0368946753,18582,18403
4000,-0.0067157988,0.0123675438,0.0348090567,18582,18403
4100,-0.0057453043,0.0110328821,0.0425599627,18582,18403
4200,-0.0044524064,0.0111162430,0.0338042043,18582,18403
4300,-0.0052539129,0.0120977545,0.0386607349,18582,18403
4400,-0.0009966956,0.0106826294,0.0433988459,18582,18405
4500,-0.0035953908,0.0100675300,0.0411044247,18582,18405
4600,-0.0142471800,0.0127767688,0.0350039676,18582,18405
4700,-0.0184014477,0.0139553882,0.0293676350,18595,18405
4800,-0.0196337588,0.0129587045,0.0613561235,18595,18405
4900,-0.0376585275,0.0364475362,0.0181692466,18595,18422
5000,-0.0332778282,0.0327991471,0.0149529213,18595,18422
5100,-0.0396447405,0.0420595333,0.1175880954,18595,18422
5200,-0.0361104570,0.0421431884,0.0898131132,18617,18422
5300,-0.0206395816,0.0345377102,0.0332623795,18617,18422
5400,-0.0085718846,0.0256258696,0.0320604816,18617,18451
5500,-0.0170700215,0.0146998381,0.0859235600,18617,18451
5600,-0.0248873644,0.0154363485,0.1216122285,18617,18451
5700,-0.0265773050,0.0201248135,0.1328049302,18638,18451
5800,-0.0265310109,0.0248438586,0.1416937560,18638,18451
5900,-0.0263098441,0.0275511574,0.1548486054,18638,18453
6000,-0.0222316440,0.0304132253,0.1704526842,18638,18453
6100,-0.0248281267,0.0233851057,0.1940644234,18638,18453
6200,-0.0227971356,0.0251998063,0.2125200629,18633,18453
6300,-0.0217124727,0.0280181188,0.2343821973,18633,18453
6400,-0.0159503184,0.0269169360,0.2457905412,18633,18453
6500,-0.0126490472,0.0356126502,0.2507952750,18633,18453
6600,-0.0097983619,0.0395652018,0.2575383782,18633,18453
6700,-0.0080836853,0.0438710228,0.2678668499,18613,18453
6800,-0.0053019836,0.0477118753,0.2776822448,18613,18453
6900,-0.0060678353,0.0502294376,0.2847724855,18613,18459
7000,-0.0046711005,0.0514701493,0.2916443348,18613,18459
7100,-0.0017481790,0.0492365770,0.2977830172,18613,18459
7200,-0.0021360645,0.0487333760,0.2986543775,18597,18459
7300,-0.0016641073,0.0488909557,0.3001990914,18597,18459
7400,-0.0008705930,0.0494353250,0.2989147305,18597,18461
7500,-0.0001200155,0.0489189811,0.2992987037,18597,18461
7600,0.0013305984,0.0470542125,0.3036158681,18597,18461
7700,0.0074104075,0.0423565805,0.3074932694,18589,18461
7800,0.0095346579,0.0403507166,0.3080116808,18589,18461
7900,0.0087089939,0.0389866009,0.3100654185,18589,18469
8000,0.0090014013,0.0416726917,0.3129247129,18589,18469
8100,0.0065775607,0.0438885987,0.3172909617,18589,18469
8200,0.0049314261,0.0449003801,0.3165692091,18569,18469
8300,0.0041283555,0.0459098034,0.3180299103,18569,18469
8400,0.0049650390,0.0491688624,0.3218268752,18569,18475
8500,0.0043959338,0.0475965999,0.3251897991,18569,18475
8600,0.0045536612,0.0470167138,0.3278012276,18569,18475
8700,0.0042865933,0.0462484099,0.3284098208,18553,18475
8800,0.0064189704,0.0408689231,0.3312668502,18553,18475
8900,0.0084883953,0.0359998122,0.3317371905,18553,18482
9000,0.0114692273,0.0378923751,0.3296309412,18553,18482
9100,0.0144622885,0.0423450842,0.3298955858,18553,18482
9200,0.0189345088,0.0552373528,0.3291784227,18541,18482
9300,0.0252356250,0.0699020848,0.3274640441,18541,18482
9400,0.0348405279,0.0885058418,0.3286899328,18541,18478
9500,0.0421986431,0.1077831015,0.3265570700,18541,18478
9600,0.0496363007,0.1277003139,0.3275015652,18541,18478
9700,0.0590462051,0.1436402649,0.3255947828,18528,18478
9800,0.0676353052,0.1583265960,0.3276267946,18528,18478
9900,0.0750955194,0.1737232953,0.3320298791,18528,18482
10000,0.0860431269,0.1824035794,0.3360040784,18528,18482
10100,0.0938408524,0.1923061609,0.3397712409,18528,18482
10200,0.0998906344,0.1984957308,0.3398572206,18528,18482
10300,0.1064756811,0.2021363378,0.3329593241,18528,18482
10400,0.1092458814,0.2045349479,0.3265414536,18528,18474
10500,0.1156978607,0.2082933187,0.3248629868,18528,18474
10600,0.1179498360,0.2114479840,0.3302873075,18528,18474
10700,0.1266780496,0.2187535167,0.3309948742,18513,18474
10800,0.1404062659,0.2257109880,0.3292531371,18513,18474
10900,0.1538372040,0.2288180441,0.3287998438,18513,18465
11000,0.1752407253,0.2328595519,0.3287240565,18513,18465
11100,0.1959555894,0.2360371351,0.3298219442,18513,18465
11200,0.2230587602,0.2346941084,0.3309564292,18502,18465
11300,0.2470491678,0.2324744314,0.3298028409,18502,18465
11400,0.2660576701,0.2291332632,0.3314397633,18502,18452
11500,0.2862745821,0.2237117887,0.3319763541,18502,18452
11600,0.3073476553,0.2186762393,0.3354559541,18502,18452
11700,0.3271868229,0.2149321437,0.3370932043,18489,18452
11800,0.3466961980,0.2121906728,0.3362573981,18489,18452
11900,0.3662774265,0.2102978975,0.3346300423,18489,18448
12000,0.3856926560,0.2081531882,0.3356082141,18489,18448
12100,0.4067637324,0.2068288624,0.3330490589,18489,18448
12200,0.4284119010,0.2040363252,0.3303812444,18499,18448
12300,0.4484500587,0.2029754519,0.3267160356,18499,18448
12400,0.4669385552,0.1996444613,0.3261173368,18499,18440
12500,0.4878543615,0.1967123300,0.3299250901,18499,18440
12600,0.5080760717,0.1946117580,0.3313257694,18499,18440
12700,0.5307427645,0.1923733801,0.3302311897,18504,18440
12800,0.5500861406,0.1893412769,0.3270130455,18504,18440
12900,0.5700659752,0.1895204037,0.3234416544,18504,18439
