Time,X,Y,Z,Gas1L,Gas1R
0,0.0023431403,-0.0001537527,0.0460629985,18512,18336
100,0.0021801332,-0.0000894022,0.0391145498,18512,18336
200,0.0015400023,0.0003179167,0.0371310338,18512,18336
300,0.0004385640,0.0003664435,0.0308077540,18508,18336
400,0.0005426572,0.0005890143,0.0262849033,18508,18336
500,0.0011629529,0.0005927564,0.0329495557,18508,18331
600,0.0002535356,0.0003786483,0.0309443232,18508,18331
700,0.0002694883,0.0003038506,0.0378879793,18508,18331
800,0.0005970222,0.0003299302,0.0298129823,18507,18331
900,0.0004095640,0.0003011972,0.0303920526,18507,18331
1000,0.0015520747,0.0003049129,0.0296452418,18507,18326
1100,0.0003445909,0.0000916911,0.0578347370,18507,18326
1200,0.0023058536,-0.0003245173,0.0450591743,18507,18326
1300,0.0006344364,0.0004768521,0.0338285901,18516,18326
1400,0.0023784454,-0.0004354082,0.0203466341,18516,18326
1500,0.0005104191,0.0004885266,0.0211452246,18516,18324
1600,0.0005881134,0.0004429339,0.0232663117,18516,18324
1700,0.0005435850,0.0004187111,0.0259599853,18516,18324
1800,0.0005783378,0.0001533979,0.0286404714,18513,18324
1900,0.0005631295,0.0001365941,0.0306636244,18513,18324
2000,0.0005748736,0.0001360669,0.0312147588,18513,18328
2100,0.0009554079,-0.0006874712,0.0388064273,18513,18328
2200,-0.0009213836,0.0000313241,0.0332973525,18513,18328
2300,-0.0009533022,0.0000859622,0.0271064490,18507,18328
2400,-0.0009126472,0.0000910793,0.0225002579,18507,18328
2500,0.0006633503,-0.0005242460,0.0325338766,18507,18318
2600,0.0014023476,-0.0007622186,0.0317186862,18507,18318
2700,-0.0003742460,-0.0001454836,0.0398833528,18507,18318
2800,-0.0003300506,-0.0001448180,0.0348625258,18507,18318
2900,0.0016766026,-0.0002007073,0.0420851447,18507,18318
3000,-0.0002161752,-0.0001879252,0.0397369601,18507,18330
3100,-0.0001541406,-0.0001445868,0.0297611803,18507,18330
3200,0.0001056325,-0.0001219216,0.0262610894,18507,18330
3300,0.0010988159,-0.0001322766,0.0251805801,18498,18330
3400,0.0011191115,-0.0001353385,0.0249015223,18498,18330
3500,-0.0000308095,-0.0001676647,0.0287079606,18498,18326
3600,0.0002245877,-0.0001484275,0.0256014317,18498,18326
3700,0.0000029950,0.0000561224,0.0274777822,18498,18326
3800,0.0000761170,0.0000138727,0.0290811267,18500,18326
3900,0.0003211806,0.0000130590,0.0295822844,18500,18326
4000,0.0020357077,-0.0008204108,0.0450065248,18500,18330
4100,0.0012625944,-0.0002760263,0.0396211669,18500,18330
4200,0.0005096032,-0.0000048081,0.0367446952,18500,18330
4300,-0.0004367980,0.0015310502,0.0254696477,18500,18330
4400,-0.0072001047,0.0005881478,0.0237697959,18500,18330
4500,-0.0288257282,0.0114880968,0.0376353860,18500,18322
4600,-0.0473204777,0.0179466940,0.0441905819,18500,18322
4700,-0.0379839614,0.0194136314,0.0386902131,18500,18322
4800,-0.0301270839,0.0215984378,0.0327669568,18516,18322
4900,-0.0471708886,0.0263890103,0.0104789920,18516,18322
5000,-0.0623925477,0.0317551531,0.0269008484,18516,18356
5100,-0.0349262841,0.0224485304,-0.0000198829,18516,18356
5200,0.0040342985,0.0079579111,0.0329926386,18516,18356
5300,0.0123820100,0.0046505802,0.0710174739,18541,18356
5400,0.0103580169,0.0170831084,0.1145215034,18541,18356
5500,0.0056174425,0.0177820567,0.1049736813,18541,18380
