Time,X,Y,Z,Zrange,Gas1L,Gas1R
0,0.0015416315,-0.0006721917,-1.4060109854,19,17723,17626
10,0.0036012875,-0.0007801914,-1.2091000080,19,17723,17626
20,0.0053800461,-0.0012915246,-1.1602406502,19,17723,17626
30,0.0460100323,-0.0112067275,-0.1894576252,18,17723,17626
40,0.0605410077,-0.0148278140,-0.1129351631,18,17723,17626
50,0.0753391758,-0.0183896143,-0.0513653941,18,17723,17626
60,0.0894861072,-0.0200782064,0.0424067602,18,17723,17626
70,0.0978625491,-0.0207592454,0.1069846079,17,17723,17626
80,0.0931954086,-0.0209091865,0.1420711428,17,17723,17626
90,0.0899226293,-0.0194627829,0.1487825513,17,17723,17626
100,0.0759490877,-0.0123202894,0.1450152397,17,17723,17626
110,0.0749448463,-0.0151230823,0.1586126983,17,17723,17626
120,0.0534317531,-0.0070365225,0.1149673089,19,17723,17626
130,0.0510830097,-0.0108574489,0.1265105903,19,17723,17626
140,0.0491557159,-0.0114135658,0.1377393603,19,17723,17626
150,0.0501212813,-0.0028897272,0.1519300044,19,17723,17626
160,0.0535768159,-0.0145561080,0.1202806383,15,17723,17626
170,0.0549453758,-0.0145580787,0.1319588423,15,17723,17626
180,0.0480902418,-0.0095574148,0.1312578619,15,17723,17626
190,0.0469335504,-0.0120353121,0.1507010460,15,17723,17626
200,0.0423687063,-0.0037351460,0.1543419063,15,17723,17629
210,0.0646596998,-0.0184667595,0.1225615963,21,17723,17629
220,0.0673940480,-0.0103076678,0.1339923292,21,17723,17629
230,0.0642238036,-0.0171512831,0.1406039894,21,17723,17629
240,0.0588779785,-0.0122133195,0.1429265290,21,17723,17629
250,0.0931615978,-0.0262709819,0.1005567163,16,17723,17629
260,0.0908196568,-0.0271146111,0.1096609384,16,17723,17629
270,0.0968131125,-0.0274556614,0.1126000956,16,17723,17629
280,0.0976110548,-0.0318157524,0.1107649356,16,17723,17629
290,0.1236932203,-0.0353129059,0.0809063315,19,17723,17629
300,0.1303531826,-0.0380943492,0.0779625177,19,17723,17629
310,0.1221500710,-0.0350718237,0.0810861140,19,17723,17629
320,0.1192476004,-0.0367196314,0.0847641900,19,17723,17629
330,0.1187944263,-0.0364053473,0.0857255235,19,17723,17629
340,0.1458180398,-0.0441598147,0.0551628731,18,17723,17629
350,0.1414820701,-0.0436643809,0.0560864471,18,17723,17629
360,0.1417584568,-0.0439039432,0.0529336296,18,17723,17629
370,0.1418136358,-0.0427532569,0.0523743443,18,17723,17629
380,0.1503325999,-0.0477573313,0.0381866843,18,17723,17629
390,0.1490867883,-0.0447555929,0.0383309014,18,17723,17629
400,0.1485475004,-0.0453305878,0.0374179780,18,17723,17629
410,0.1493463665,-0.0453327894,0.0345056877,18,17723,17629
420,0.1502916366,-0.0451152287,0.0312974527,19,17723,17629
430,0.1535226852,-0.0481695756,0.0246796105,19,17723,17629
440,0.1565204859,-0.0488361977,0.0195789579,19,17723,17629
450,0.1517338157,-0.0454393849,0.0244157035,19,17713,17629
460,0.1478374749,-0.0454143099,0.0345846340,19,17713,17629
470,0.1455877274,-0.0453444831,0.0308538284,16,17713,17629
480,0.1392891407,-0.0429725684,0.0507302620,16,17713,17629
490,0.1389701366,-0.0431849323,0.0499733426,16,17713,17629
500,0.1377203763,-0.0426287763,0.0495161414,16,17713,17629
510,0.1421681046,-0.0439069159,0.0418026820,16,17713,17629
520,0.1395888627,-0.0421527773,0.0440963730,16,17713,17629
530,0.1384273320,-0.0420187004,0.0494695045,16,17713,17629
540,0.1390986145,-0.0437286086,0.0489470772,16,17713,17629
550,0.1338612735,-0.0410596989,0.0600318871,16,17713,17629
560,0.1379593313,-0.0421451218,0.0418146774,17,17713,17629
570,0.1346928477,-0.0422647484,0.0617004335,17,17713,17629
580,0.1337906718,-0.0425699651,0.0629361048,17,17713,17629
590,0.1339932382,-0.0419685803,0.0650337934,17,17713,17629
600,0.1324267387,-0.0395253412,0.0555017069,20,17713,17629
610,0.1274476200,-0.0388206765,0.0747938305,20,17713,17629
620,0.1258666217,-0.0374955423,0.0854481310,20,17713,17629
630,0.1238276586,-0.0385930836,0.0917958692,20,17713,17629
640,0.1305509955,-0.0408124439,0.0678001419,14,17713,17629
650,0.1257814765,-0.0383323655,0.0790609345,14,17713,17629
660,0.1250924915,-0.0378140621,0.0845515952,14,17713,17629
670,0.1243210137,-0.0380466953,0.0873954222,14,17713,17629
680,0.1242743805,-0.0375510752,0.0895244107,14,17713,17629
690,0.1331747770,-0.0395935290,0.0589797832,15,17713,17629
700,0.1264122874,-0.0385977067,0.0813625678,15,17713,17630
710,0.1258601099,-0.0387179367,0.0834374279,15,17713,17630
720,0.1254779398,-0.0386255980,0.0860270560,15,17713,17630
730,0.1306282133,-0.0399530642,0.0627167672,19,17713,17630
740,0.1282802969,-0.0395804234,0.0680067316,19,17713,17630
750,0.1292245239,-0.0404333510,0.0719117373,19,17713,17630
760,0.1268604696,-0.0382606722,0.0805811659,19,17713,17630
770,0.1292240471,-0.0396891311,0.0598876551,13,17713,17630
780,0.1288825721,-0.0403305776,0.0596936755,13,17713,17630
790,0.1288111359,-0.0398746654,0.0604556277,13,17713,17630
800,0.1304753721,-0.0397491045,0.0613098927,13,17713,17630
810,0.1281078011,-0.0393973887,0.0698270500,13,17713,17630
820,0.1313020289,-0.0399968848,0.0527728833,18,17713,17630
830,0.1299806237,-0.0367961824,0.0565259382,18,17713,17630
840,0.1296177804,-0.0362895019,0.0619601384,18,17713,17630
850,0.1288886964,-0.0369425789,0.0699202716,18,17713,17630
860,0.1302535832,-0.0363386683,0.0519324951,19,17713,17630
870,0.1304060817,-0.0372656099,0.0541995801,19,17713,17630
880,0.1306666136,-0.0368412770,0.0540178232,19,17713,17630
890,0.1306319982,-0.0374839045,0.0531343780,19,17713,17630
900,0.1308927536,-0.0379772782,0.0406796783,20,17713,17630
910,0.1316515952,-0.0366747268,0.0423988365,20,17713,17630
920,0.1304823160,-0.0372773223,0.0446972288,20,17713,17630
930,0.1308317035,-0.0376584977,0.0454392247,20,17713,17630
940,0.1305299103,-0.0365580544,0.0470418595,20,17713,17630
950,0.1312441826,-0.0378860608,0.0369267538,18,17701,17630
960,0.1302125007,-0.0378294960,0.0364938639,18,17701,17630
970,0.1296553314,-0.0378228016,0.0350386910,18,17701,17630
980,0.1300920844,-0.0377281569,0.0392510481,18,17701,17630
990,0.1315562874,-0.0362587869,0.0302905682,19,17701,17630
1000,0.1296410412,-0.0375055224,0.0407639295,19,17701,17630
1010,0.1302833110,-0.0375183672,0.0425682701,19,17701,17630
1020,0.1286304444,-0.0373726301,0.0453198962,19,17701,17630
1030,0.1295751780,-0.0375619680,0.0378108062,16,17701,17630
1040,0.1292131841,-0.0375509411,0.0372267812,16,17701,17630
1050,0.1302863806,-0.0374165028,0.0377563648,16,17701,17630
1060,0.1306243241,-0.0370674953,0.0367780998,16,17701,17630
1070,0.1285908371,-0.0373895876,0.0429216400,16,17701,17630
1080,0.1291106194,-0.0375192091,0.0361046344,19,17701,17630
1090,0.1289030015,-0.0373254977,0.0357176363,19,17701,17630
1100,0.1304600984,-0.0359018929,0.0369004793,19,17701,17630
1110,0.1283746958,-0.0362344198,0.0507366769,19,17701,17630
1120,0.1295976341,-0.0364078991,0.0406931229,19,17701,17630
1130,0.1285917759,-0.0372420251,0.0415065624,19,17701,17630
1140,0.1283201873,-0.0372689851,0.0419730432,19,17701,17630
1150,0.1282039285,-0.0372892022,0.0425155461,19,17701,17630
1160,0.1300983876,-0.0373052210,0.0341190025,17,17701,17630
1170,0.1291566491,-0.0374224931,0.0382801555,17,17701,17630
1180,0.1299154460,-0.0367475972,0.0383907333,17,17701,17630
1190,0.1298623234,-0.0370650440,0.0395332240,17,17701,17630
1200,0.1291615665,-0.0373841152,0.0401810892,17,17701,17615
1210,0.1303001642,-0.0347810760,0.0333806090,14,17701,17615
1220,0.1280930191,-0.0363740437,0.0527499616,14,17701,17615
1230,0.1284069717,-0.0365304388,0.0571873076,14,17701,17615
1240,0.1291745901,-0.0365974344,0.0581942461,14,17701,17615
1250,0.1297416836,-0.0371720456,0.0437403210,19,17701,17615
1260,0.1289191395,-0.0371575505,0.0452645794,19,17701,17615
1270,0.1293075830,-0.0372003317,0.0468905233,19,17701,17615
1280,0.1286867559,-0.0368130207,0.0475403443,19,17701,17615
1290,0.1309537143,-0.0372782350,0.0560664237,16,17701,17615
1300,0.1311102509,-0.0368068740,0.0480753705,16,17701,17615
1310,0.1309731454,-0.0371463187,0.0499198884,16,17701,17615
1320,0.1313835084,-0.0371853895,0.0501997694,16,17701,17615
1330,0.1319594234,-0.0374210961,0.0502134264,16,17701,17615
1340,0.1338237822,-0.0385269187,0.0362255089,19,17701,17615
1350,0.1317545027,-0.0381320193,0.0536420345,19,17701,17615
1360,0.1318079978,-0.0374342687,0.0551238619,19,17701,17615
1370,0.1324845254,-0.0370794535,0.0579823256,19,17701,17615
1380,0.1315663457,-0.0378902815,0.0456275120,18,17701,17615
1390,0.1329087913,-0.0376413539,0.0504887328,18,17701,17615
1400,0.1329195350,-0.0382081233,0.0513796136,18,17701,17615
1410,0.1308790445,-0.0370046645,0.0561560988,18,17701,17615
1420,0.1317567229,-0.0370348953,0.0706978068,18,17701,17615
1430,0.1331860423,-0.0378285386,0.0533227734,19,17701,17615
1440,0.1318011135,-0.0368138067,0.0626864880,19,17701,17615
1450,0.1327890307,-0.0387093388,0.0715901405,19,17680,17615
1460,0.1329167187,-0.0380602591,0.0785369575,19,17680,17615
1470,0.1345817000,-0.0385464653,0.0546389557,16,17680,17615
1480,0.1356645674,-0.0386633910,0.0531820618,16,17680,17615
1490,0.1354474723,-0.0392814167,0.0573932528,16,17680,17615
1500,0.1359412968,-0.0393855758,0.0580451116,16,17680,17615
1510,0.1355305761,-0.0394161642,0.0593954772,16,17680,17615
1520,0.1355439425,-0.0396979302,0.0430611968,16,17680,17615
1530,0.1352427155,-0.0382101126,0.0428828672,16,17680,17615
1540,0.1352775842,-0.0397207700,0.0505575016,16,17680,17615
1550,0.1360329986,-0.0396611318,0.0524937920,16,17680,17615
1560,0.1355492622,-0.0391707420,0.0397350043,18,17680,17615
1570,0.1355112493,-0.0395402722,0.0394689180,18,17680,17615
1580,0.1345376968,-0.0387403294,0.0381797999,18,17680,17615
1590,0.1323245615,-0.0386612192,0.0302427299,18,17680,17615
1600,0.1312053800,-0.0374067873,0.0212847367,14,17680,17615
1610,0.1304754317,-0.0372593664,0.0238031596,14,17680,17615
1620,0.1299420446,-0.0380325802,0.0272843502,14,17680,17615
1630,0.1294016838,-0.0367303193,0.0292802602,14,17680,17615
1640,0.1290681958,-0.0367636196,0.0304607376,14,17680,17615
1650,0.1306004822,-0.0375550576,0.0244940910,18,17680,17615
1660,0.1299568862,-0.0378555283,0.0265135020,18,17680,17615
1670,0.1301089376,-0.0370147601,0.0276096761,18,17680,17615
1680,0.1305374205,-0.0377010740,0.0268316809,18,17680,17615
1690,0.1307839751,-0.0365306437,0.0253678188,19,17680,17615
1700,0.1289357543,-0.0372984968,0.0307149868,19,17680,17577
1710,0.1288719177,-0.0367603861,0.0334119089,19,17680,17577
1720,0.1299000829,-0.0362513922,0.0353202932,19,17680,17577
1730,0.1290985644,-0.0372004807,0.0332301259,18,17680,17577
1740,0.1291978657,-0.0370706841,0.0339264683,18,17680,17577
1750,0.1285454184,-0.0365118422,0.0344022438,18,17680,17577
1760,0.1287249327,-0.0364694893,0.0357010886,18,17680,17577
1770,0.1290242672,-0.0364595130,0.0356727317,18,17680,17577
1780,0.1306395829,-0.0361254103,0.0260309391,15,17680,17577
1790,0.1293107718,-0.0364053361,0.0335971266,15,17680,17577
1800,0.1296683699,-0.0374799110,0.0334150381,15,17680,17577
1810,0.1298330873,-0.0366888270,0.0385096930,15,17680,17577
1820,0.1301551163,-0.0364187248,0.0293588825,15,17680,17577
1830,0.1301131845,-0.0368937179,0.0299319532,15,17680,17577
1840,0.1301062554,-0.0372660160,0.0294132624,15,17680,17577
1850,0.1299587041,-0.0373079851,0.0293258186,15,17680,17577
1860,0.1296574622,-0.0376879498,0.0244707894,18,17680,17577
1870,0.1286087781,-0.0380297936,0.0223567523,18,17680,17577
1880,0.1286974251,-0.0365749262,0.0268453136,18,17680,17577
1890,0.1284858286,-0.0376761407,0.0339632444,18,17680,17577
1900,0.1285805404,-0.0377379805,0.0343817174,18,17680,17577
1910,0.1287110597,-0.0372586399,0.0295889452,21,17680,17577
1920,0.1298718005,-0.0373105966,0.0287137385,21,17680,17577
1930,0.1283818781,-0.0370521843,0.0370201692,21,17680,17577
1940,0.1286644638,-0.0377399288,0.0404208228,21,17680,17577
1950,0.1288243830,-0.0376048796,0.0315398052,16,17667,17577
1960,0.1297038049,-0.0373344235,0.0314041153,16,17667,17577
1970,0.1283851117,-0.0372424833,0.0362769775,16,17667,17577
1980,0.1293415725,-0.0365992226,0.0401909016,16,17667,17577
1990,0.1296089739,-0.0374195985,0.0435182080,12,17667,17577
2000,0.1286051571,-0.0373766385,0.0340315402,12,17667,17577
2010,0.1285561919,-0.0370402113,0.0349803939,12,17667,17577
2020,0.1297557801,-0.0378143452,0.0382407680,12,17667,17577
2030,0.1291660517,-0.0376616046,0.0433399044,12,17667,17577
2040,0.1292393804,-0.0376638919,0.0320670344,14,17667,17577
2050,0.1284192502,-0.0372656770,0.0317782648,14,17667,17577
2060,0.1283278763,-0.0372399800,0.0323799215,14,17667,17577
2070,0.1276732832,-0.0362813771,0.0308222231,14,17667,17577
2080,0.1280378252,-0.0365611725,0.0299052764,20,17667,17577
2090,0.1295311898,-0.0369908959,0.0294020046,20,17667,17577
2100,0.1291095167,-0.0369552672,0.0338344835,20,17667,17577
2110,0.1284572184,-0.0369094834,0.0350344516,20,17667,17577
2120,0.1296084821,-0.0369930230,0.0376812518,15,17667,17577
2130,0.1289197654,-0.0367768109,0.0318468995,15,17667,17577
2140,0.1296943873,-0.0375234559,0.0331347659,15,17667,17577
2150,0.1286971569,-0.0377012007,0.0356547572,15,17667,17577
2160,0.1285950243,-0.0380984098,0.0358224511,15,17667,17577
2170,0.1301208138,-0.0361683443,0.0340897590,18,17667,17577
2180,0.1269024312,-0.0380025990,0.0575973690,18,17667,17577
2190,0.1287527084,-0.0378856622,0.0827832818,18,17667,17577
2200,0.1307909042,-0.0375550203,0.0811388940,18,17667,17549
2210,0.1297879219,-0.0370772332,0.0713273361,21,17667,17549
2220,0.1307331473,-0.0369496942,0.0731769055,21,17667,17549
2230,0.1304507256,-0.0369239599,0.0765782669,21,17667,17549
2240,0.1283906698,-0.0374981314,0.0783960894,21,17667,17549
2250,0.1282152236,-0.0375536531,0.0832510367,21,17667,17549
2260,0.1271485090,-0.0374542698,0.0594047792,17,17667,17549
2270,0.1281264722,-0.0371816568,0.0663277283,17,17667,17549
2280,0.1284794956,-0.0373758413,0.0669896379,17,17667,17549
2290,0.1269977093,-0.0384573862,0.0707698092,17,17667,17549
2300,0.1288689822,-0.0374527425,0.0576373301,17,17667,17549
2310,0.1258609891,-0.0369499624,0.0670292377,17,17667,17549
2320,0.1281505078,-0.0373013429,0.0865763351,17,17667,17549
2330,0.1263643205,-0.0380540080,0.0966401175,17,17667,17549
2340,0.1276327968,-0.0372291245,0.1048573479,16,17667,17549
2350,0.1255828291,-0.0371039025,0.0806058198,16,17667,17549
2360,0.1261653304,-0.0367402583,0.0871765316,16,17667,17549
2370,0.1264240891,-0.0375510231,0.0901034251,16,17667,17549
2380,0.1304289699,-0.0370262600,0.0886892453,16,17667,17549
2390,0.1327980161,-0.0372014493,0.0582472533,15,17667,17549
2400,0.1312121004,-0.0359918810,0.0798625648,15,17667,17549
2410,0.1316444129,-0.0360189117,0.0818475410,15,17667,17549
2420,0.1307470500,-0.0356757864,0.0832888409,15,17667,17549
2430,0.1343716830,-0.0374332592,0.0713994354,16,17667,17549
2440,0.1354351491,-0.0373052172,0.0736981481,16,17667,17549
2450,0.1360405385,-0.0367090851,0.0778109357,16,17677,17549
2460,0.1353847831,-0.0360313505,0.0820740238,16,17677,17549
2470,0.1370690912,-0.0360542573,0.0856674388,18,17677,17549
2480,0.1348258108,-0.0359243713,0.0626456141,18,17677,17549
2490,0.1323473901,-0.0368946940,0.0561683886,18,17677,17549
