Time,X,Y,Z,Gas1L,Gas1R
0,0.0000025786,0.0000000593,-0.0000015294,18636,18480
10,0.0000077203,0.0000013822,0.0262500755,18636,18480
20,0.0000107946,0.0000025388,0.0209913924,18636,18480
30,0.0000151324,0.0000071203,0.0209784657,18636,18480
40,0.0000176846,0.0000073306,0.0209623594,18636,18480
50,0.0000209343,0.0000097717,0.0209418815,18636,18480
60,0.0000228749,0.0000110825,0.0204332247,18636,18480
70,0.0000258756,0.0000119679,0.0204007234,18636,18480
80,0.0000264770,0.0000116279,0.0203648880,18636,18480
90,0.0000285323,0.0000113171,0.0203253143,18636,18480
100,0.0000311362,0.0000099262,0.0202814825,18636,18480
110,0.0000345101,0.0000101534,0.0201206170,18636,18480
120,0.0000376257,0.0000104814,0.0200654808,18636,18480
130,0.0000380696,0.0000104126,0.0200076271,18636,18480
140,0.0000399018,0.0000085758,0.0199457612,18636,18480
150,0.0000403111,0.0000066440,0.0206455495,18636,18480
160,0.0000428622,0.0000044480,0.0206110943,18636,18480
170,0.0000449506,0.0000031066,0.0205734354,18636,18493
180,0.0000486800,0.0000023006,0.0205334183,18636,18493
190,0.0000525127,0.0000047645,0.0199035481,18636,18493
200,0.0000560154,0.0000039630,0.0198240373,18636,18493
210,0.0000572359,0.0000027584,0.0197406132,18636,18493
220,0.0000596585,-0.0000004698,0.0196537506,18636,18493
230,0.0000603121,0.0000009072,0.0195637457,18636,18493
240,0.0000608001,-0.0000002653,0.0196580067,18636,18493
250,0.0000611209,-0.0000007291,0.0195709225,18636,18493
260,0.0000648931,-0.0000023920,0.0194792431,18636,18493
270,0.0000665790,-0.0000020122,0.0193827525,18636,18493
280,0.0000688824,-0.0000051033,0.0199722704,18636,18493
290,0.0000702379,-0.0000071108,0.0199089106,18636,18493
300,0.0000748462,-0.0000074208,0.0198423509,18636,18493
310,0.0000778523,-0.0000082170,0.0197724234,18636,18493
320,0.0000798212,-0.0000088954,0.0197938271,18636,18493
330,0.0000804361,-0.0000094222,0.0197201874,18636,18493
340,0.0000835201,-0.0000102112,0.0196417291,18636,18493
350,0.0000855085,-0.0000107415,0.0195589866,18636,18493
360,0.0000868461,-0.0000091043,0.0194714218,18636,18493
370,0.0000899006,-0.0000120266,0.0196126755,18636,18493
380,0.0000929669,-0.0000134529,0.0195285399,18636,18493
390,0.0000954603,-0.0000136299,0.0194414370,18636,18493
400,0.0000999509,-0.0000157384,0.0193508808,18636,18493
410,0.0001013534,-0.0000195749,0.0199553557,18636,18493
420,0.0001042769,-0.0000207871,0.0198977273,18632,18493
430,0.0001071033,-0.0000209019,0.0198381040,18632,18493
440,0.0001099593,-0.0000210199,0.0197764393,18632,18493
450,0.0001104003,-0.0000237035,0.0202137139,18632,18493
460,0.0001127217,-0.0000245551,0.0201708898,18632,18493
470,0.0001141613,-0.0000287297,0.0201237127,18632,18493
480,0.0001155216,-0.0000310788,0.0200743657,18632,18493
490,0.0001193847,-0.0000306710,0.0200232118,18632,18493
500,0.0001217315,-0.0000352623,0.0203919914,18632,18493
510,0.0001265645,-0.0000371090,0.0203604624,18632,18493
520,0.0001288728,-0.0000397885,0.0203271899,18632,18493
530,0.0001314523,-0.0000410665,0.0202895477,18632,18493
540,0.0001345085,-0.0000423236,0.0201260932,18632,18493
550,0.0001363938,-0.0000438378,0.0200711340,18632,18493
560,0.0001399838,-0.0000438012,0.0200115200,18632,18493
570,0.0001425621,-0.0000450540,0.0199488141,18632,18493
580,0.0001472870,-0.0000412218,0.0194983855,18632,18493
590,0.0001498269,-0.0000405916,0.0194075070,18632,18493
600,0.0001535326,-0.0000380001,0.0193125997,18632,18493
610,0.0001542574,-0.0000381119,0.0192152057,18632,18493
620,0.0001576938,-0.0000386472,0.0191141851,18632,18493
630,0.0001594986,-0.0000412393,0.0198179241,18632,18493
640,0.0001633676,-0.0000426877,0.0197525695,18632,18493
650,0.0001642055,-0.0000438593,0.0196827538,18632,18493
660,0.0001653141,-0.0000471973,0.0196080860,18632,18493
670,0.0001661009,-0.0000492543,0.0196913034,18632,18498
680,0.0001677625,-0.0000479508,0.0196179431,18632,18498
690,0.0001677076,-0.0000493410,0.0195417255,18632,18498
700,0.0001713477,-0.0000471244,0.0194630120,18632,18498
710,0.0001725991,-0.0000487695,0.0200451650,18632,18498
720,0.0001737714,-0.0000490786,0.0199985988,18632,18498
730,0.0001783749,-0.0000488931,0.0199495032,18632,18498
740,0.0001798709,-0.0000486267,0.0198979788,18632,18498
750,0.0001810994,-0.0000480004,0.0198433660,18632,18498
760,0.0001841444,-0.0000462012,0.0194350723,18632,18498
770,0.0001872192,-0.0000478753,0.0193561725,18632,18498
780,0.0001904941,-0.0000497379,0.0192752481,18632,18498
790,0.0001928677,-0.0000485789,0.0191911962,18632,18498
800,0.0001955022,-0.0000475435,0.0190248769,18632,18498
810,0.0002008267,-0.0000478334,0.0189267918,18632,18498
820,0.0002029466,-0.0000478704,0.0188236348,18632,18498
830,0.0002064989,-0.0000478502,0.0187150706,18632,18498
840,0.0002077694,-0.0000536239,0.0195755586,18632,18498
