Time,X,Y,Z,Gas1L,Gas1R
0,0.1044371948,0.1319905967,0.3355712891,18541,18374
100,0.1148911268,0.1462939680,0.3380308747,18541,18374
200,0.1220617741,0.1553243101,0.3390084207,18546,18374
300,0.1266521811,0.1611746848,0.3374327719,18546,18374
400,0.1306660473,0.1648841798,0.3342677951,18546,18376
500,0.1320720762,0.1673534811,0.3300752342,18546,18376
600,0.1331728697,0.1663810313,0.3286655843,18546,18376
700,0.1355101913,0.1638703048,0.3311065435,18545,18376
800,0.1417309791,0.1633971781,0.3342335224,18545,18376
900,0.1505343616,0.1628469527,0.3363384008,18545,18381
1000,0.1674516499,0.1639036685,0.3392505646,18545,18381
1100,0.1824414879,0.1661227196,0.3364061415,18545,18381
1200,0.2009012997,0.1677158326,0.3344263732,18547,18381
1300,0.2176988125,0.1713189483,0.3328213096,18547,18381
1400,0.2288367152,0.1723714769,0.3331274688,18547,18381
1500,0.2342224121,0.1726646274,0.3308676779,18547,18381
1600,0.2378780097,0.1736774743,0.3310857415,18547,18381
1700,0.2388624698,0.1759658307,0.3305127621,18546,18381
1800,0.2365226448,0.1764707416,0.3284345567,18546,18381
1900,0.2355283201,0.1766330004,0.3293785155,18546,18381
2000,0.2337768972,0.1785981804,0.3299460709,18546,18381
2100,0.2325496078,0.1782211363,0.3314724267,18546,18381
2200,0.2318601608,0.1795134097,0.3332172334,18548,18381
2300,0.2319499254,0.1804178208,0.3298326433,18548,18381
2400,0.2322672606,0.1804414243,0.3283048868,18548,18388
2500,0.2318540663,0.1823043823,0.3244832456,18548,18388
2600,0.2330293208,0.1832762510,0.3225001097,18548,18388
2700,0.2356432527,0.1864368320,0.3240909874,18518,18388
2800,0.2407329828,0.1872794330,0.3251476884,18518,18388
2900,0.2494456470,0.1868989468,0.3275734186,18518,18386
3000,0.2636732161,0.1855532825,0.3275171518,18518,18386
3100,0.2806625664,0.1845483780,0.3243957162,18518,18386
3200,0.2963536680,0.1847651601,0.3241302967,18459,18386
3300,0.3109931648,0.1862917095,0.3218525946,18459,18386
3400,0.3242019415,0.1869402379,0.3215976954,18459,18386
3500,0.3318955302,0.1894145757,0.3233753741,18459,18386
3600,0.3347446322,0.1912479401,0.3226630986,18459,18386
3700,0.3362826407,0.1905435473,0.3197031319,18421,18386
3800,0.3343596756,0.1921919435,0.3165118098,18421,18386
3900,0.3332857490,0.1926102340,0.3155180216,18421,18392
4000,0.3311570883,0.1932073087,0.3155933022,18421,18392
4100,0.3301479220,0.1938413680,0.3134146631,18421,18392
4200,0.3301326632,0.1947686672,0.3125884831,18392,18392
4300,0.3309023082,0.1946035624,0.3124169409,18392,18392
4400,0.3314580619,0.1952660829,0.3142108917,18392,18394
4500,0.3319367170,0.1955794394,0.3152168095,18392,18394
4600,0.3318644464,0.1960732341,0.3171201944,18392,18394
4700,0.3357706666,0.1966343522,0.3184894621,18364,18394
4800,0.3398376405,0.1962452680,0.3166418970,18364,18394
4900,0.3478164375,0.1974491030,0.3182192743,18364,18394
5000,0.3602082729,0.1978854686,0.3183978200,18364,18394
5100,0.3752501607,0.1990798861,0.3194243908,18364,18394
5200,0.3924128115,0.1980894804,0.3183706999,18316,18394
5300,0.4103647768,0.1971533298,0.3176611066,18316,18394
5400,0.4237343073,0.1968650073,0.3144530654,18316,18395
5500,0.4341111779,0.1970457584,0.3137432635,18316,18395
5600,0.4390830100,0.1973147243,0.3145841360,18316,18395
5700,0.4400896132,0.1984978169,0.3116622865,18279,18395
5800,0.4378687143,0.1999709904,0.3136205971,18279,18395
5900,0.4353868663,0.2006259114,0.3131403923,18279,18397
6000,0.4334124029,0.2007495612,0.3125493824,18279,18397
6100,0.4314125478,0.2006903291,0.3109777272,18279,18397
6200,0.4310907423,0.2006534934,0.3117997646,18246,18397
6300,0.4304113686,0.1995451897,0.3124183714,18246,18397
6400,0.4310181141,0.1991722286,0.3121528625,18246,18396
6500,0.4314247668,0.1990932971,0.3136895001,18246,18396
6600,0.4317461848,0.1984501332,0.3137985766,18246,18396
6700,0.4344177544,0.1985657811,0.3117468059,18224,18396
6800,0.4372503161,0.1980853975,0.3164885044,18224,18396
6900,0.4422743022,0.1975091547,0.3121761382,18224,18398
7000,0.4539785385,0.1979828477,0.3120928109,18224,18398
7100,0.4682044387,0.1981547922,0.3087594509,18224,18398
7200,0.4863654971,0.1972180307,0.3059180379,18211,18398
7300,0.5037201643,0.1966940761,0.3082429469,18211,18398
7400,0.5173755288,0.1967896819,0.3100894988,18211,18399
7500,0.5264819860,0.1978513896,0.3104806840,18211,18399
7600,0.5314308405,0.1984075755,0.3085560203,18211,18399
7700,0.5328742862,0.1990613788,0.3073376715,18203,18399
7800,0.5331317782,0.1997445077,0.3069826365,18203,18399
7900,0.5303295255,0.1995039582,0.3089726269,18203,18406
8000,0.5296062827,0.2001540214,0.3074318171,18203,18406
8100,0.5272076130,0.2009776384,0.3089548051,18203,18406
8200,0.5271216035,0.2012396753,0.3089710474,18205,18406
8300,0.5274321437,0.2007920146,0.3063012064,18205,18406
8400,0.5277407765,0.1996043324,0.3056956232,18205,18403
8500,0.5279577971,0.1986410320,0.3054939508,18205,18403
8600,0.5285309553,0.1988878548,0.3077470064,18205,18403
8700,0.5298790336,0.1989641786,0.3076583445,18221,18403
8800,0.5328645110,0.1986746043,0.3075442612,18221,18403
