Time,X,Y,Z,Gas1L,Gas1R
0,0.1010209396,0.1256021708,0.3349861205,19267,19093
100,0.1115589887,0.1435851455,0.3396885693,19267,19093
200,0.1177573800,0.1573705077,0.3390352428,19267,19091
300,0.1216435209,0.1636777073,0.3375677466,19267,19091
400,0.1235136017,0.1677523553,0.3338861465,19267,19091
500,0.1233454570,0.1719353646,0.3295131028,19265,19091
600,0.1222197562,0.1732071787,0.3282201588,19265,19091
700,0.1238486990,0.1744977981,0.3250452876,19265,19106
800,0.1287129074,0.1744289845,0.3269793987,19265,19106
900,0.1386381537,0.1769355536,0.3292754591,19265,19106
1000,0.1535097659,0.1779107004,0.3308832943,19263,19106
1100,0.1720661521,0.1792692840,0.3286705017,19263,19106
1200,0.1885503978,0.1841049641,0.3252274096,19263,19094
1300,0.2056554556,0.1865224987,0.3224799335,19263,19094
1400,0.2191386223,0.1873656064,0.3235884309,19263,19094
1500,0.2301700711,0.1871051937,0.3206736445,19262,19094
1600,0.2358562052,0.1858924925,0.3216226101,19262,19094
1700,0.2418021560,0.1830249429,0.3214151859,19262,19090
1800,0.2488849461,0.1815254688,0.3204046488,19262,19090
1900,0.2607894540,0.1806075126,0.3224657476,19262,19090
2000,0.2748503089,0.1790672094,0.3258129656,19263,19090
2100,0.2944126129,0.1795623749,0.3262417316,19263,19090
2200,0.3135143816,0.1816515774,0.3257133365,19263,19086
2300,0.3310883939,0.1819139421,0.3283734620,19263,19086
2400,0.3436874747,0.1821306348,0.3278333843,19263,19086
2500,0.3514424860,0.1813728958,0.3257403374,19251,19086
2600,0.3565221429,0.1832537502,0.3228465617,19251,19086
2700,0.3606709838,0.1839072108,0.3199990094,19251,19081
2800,0.3649268150,0.1858453751,0.3184394240,19251,19081
2900,0.3731153905,0.1854917705,0.3176716864,19251,19081
3000,0.3863872588,0.1856292337,0.3177287579,19243,19081
3100,0.4038861692,0.1857124716,0.3171201050,19243,19081
3200,0.4198819399,0.1859430075,0.3211804032,19243,19060
3300,0.4353642464,0.1839778423,0.3228121102,19243,19060
3400,0.4488182068,0.1804585755,0.3259683251,19243,19060
3500,0.4576382339,0.1795081347,0.3258094490,19231,19060
3600,0.4632371962,0.1766820103,0.3243868351,19231,19060
3700,0.4684029818,0.1704305410,0.3224848509,19231,19046
3800,0.4717944264,0.1680454016,0.3186573088,19231,19046
3900,0.4797223210,0.1666150987,0.3159850538,19231,19046
4000,0.4922282696,0.1652049869,0.3145350218,19228,19046
4100,0.5093883276,0.1637004018,0.3147363663,19228,19046
4200,0.5273199677,0.1626328826,0.3189174831,19228,19044
4300,0.5432338119,0.1618168652,0.3197957575,19228,19044
4400,0.5577948093,0.1577418596,0.3219149113,19228,19044
4500,0.5668383241,0.1574574709,0.3224860132,19200,19044
4600,0.5715281367,0.1562847644,0.3197632432,19200,19044
4700,0.5758547187,0.1545549929,0.3161101341,19200,19027
4800,0.5793649554,0.1536593884,0.3140947819,19200,19027
4900,0.5867657065,0.1534396857,0.3143205643,19200,19027
5000,0.5967597961,0.1532561183,0.3150688410,19181,19027
5100,0.6128747463,0.1538538188,0.3153456450,19181,19027
5200,0.6320576072,0.1544384658,0.3161193728,19181,19029
5300,0.6508849263,0.1553302854,0.3188233972,19181,19029
5400,0.6660251617,0.1565110832,0.3196763396,19181,19029
5500,0.6766229272,0.1608044505,0.3173220158,19172,19029
5600,0.6839821339,0.1612269580,0.3166194260,19172,19029
5700,0.6874223948,0.1657388210,0.3112913668,19172,19011
5800,0.6908531785,0.1700501740,0.3098098338,19172,19011
5900,0.6960505247,0.1709753424,0.3100283146,19172,19011
6000,0.7054999471,0.1718268991,0.3100424409,19156,19011
6100,0.7213115096,0.1728175431,0.3142017126,19156,19011
6200,0.7375587821,0.1744270027,0.3158189058,19156,19003
6300,0.7538818717,0.1760328561,0.3164448142,19156,19003
6400,0.7683828473,0.1754038781,0.3147826493,19156,19003
6500,0.7795107961,0.1768867224,0.3113598228,19131,19003
6600,0.7855692506,0.1756774485,0.3083460033,19131,19003
6700,0.7873759270,0.1765726805,0.3089793026,19131,19001
6800,0.7903982401,0.1765623540,0.3102354407,19131,19001
6900,0.7926526666,0.1762363017,0.3090298772,19131,19001
7000,0.8010372519,0.1748129576,0.3083794117,19114,19001
7100,0.8146892190,0.1734322309,0.3062095046,19114,19001
7200,0.8304315805,0.1715650707,0.3062246740,19114,18997
7300,0.8486642838,0.1688286215,0.3041982055,19114,18997
7400,0.8653683662,0.1672165692,0.3046379387,19114,18997
7500,0.8774484396,0.1681241989,0.3051983118,19098,18997
7600,0.8848013282,0.1704871356,0.3055488169,19098,18997
7700,0.8897585869,0.1696866155,0.3055523634,19098,18999
