Time,X,Y,Z,Gas1L,Gas1R
0,0.1510444582,0.1304939538,0.3402844369,18589,18421
100,0.1598987281,0.1429963559,0.3468010128,18589,18418
200,0.1711495519,0.1552115083,0.3476430476,18589,18418
300,0.1782584190,0.1594742537,0.3464131057,18589,18418
400,0.1827171743,0.1636069715,0.3410249352,18583,18418
500,0.1853379756,0.1649290472,0.3384096920,18583,18418
600,0.1860761493,0.1667553186,0.3347314894,18583,18421
700,0.1872515678,0.1655100435,0.3328643739,18583,18421
800,0.1903547943,0.1658035815,0.3349930346,18583,18421
900,0.1968065202,0.1650289595,0.3368797302,18602,18421
1000,0.2096736878,0.1660831124,0.3361263871,18602,18421
1100,0.2262824178,0.1662092507,0.3340047002,18602,18430
1200,0.2434727550,0.1674852669,0.3353239596,18602,18430
1300,0.2590987980,0.1674936265,0.3364735544,18602,18430
1400,0.2710393667,0.1682106555,0.3350868821,18597,18430
1500,0.2803238034,0.1687787175,0.3367098570,18597,18430
1600,0.2845670879,0.1691659987,0.3376436532,18597,18430
1700,0.2884364426,0.1695811152,0.3371723890,18597,18430
1800,0.2928510606,0.1695419103,0.3352305591,18597,18430
1900,0.2995533049,0.1690681726,0.3352430761,18601,18430
2000,0.3114629686,0.1680375785,0.3348471224,18601,18430
2100,0.3272042572,0.1667303443,0.3346406817,18601,18435
2200,0.3451719284,0.1649274379,0.3322115839,18601,18435
2300,0.3599976599,0.1626227498,0.3326373100,18601,18435
2400,0.3738658428,0.1613835990,0.3322109282,18609,18435
2500,0.3817494214,0.1612792760,0.3316063285,18609,18435
2600,0.3869034350,0.1602959931,0.3307729661,18609,18437
2700,0.3922732770,0.1598640680,0.3296218216,18609,18437
2800,0.3953513205,0.1596821994,0.3282176554,18609,18437
2900,0.4023158252,0.1600197852,0.3273050785,18605,18437
3000,0.4141801894,0.1601587683,0.3265034258,18605,18437
3100,0.4297003448,0.1604903191,0.3225723207,18605,18438
3200,0.4437760413,0.1588269621,0.3207521141,18605,18438
3300,0.4627234936,0.1593224853,0.3197473884,18605,18438
3400,0.4771553576,0.1600762308,0.3197280467,18604,18438
3500,0.4862497449,0.1606979072,0.3225699365,18604,18438
3600,0.4925246537,0.1609968543,0.3243444562,18604,18448
3700,0.4963525534,0.1608716846,0.3230255544,18604,18448
3800,0.4970400929,0.1600337774,0.3219529390,18604,18448
3900,0.5010047555,0.1602644771,0.3243103027,18610,18448
4000,0.5123153329,0.1603561789,0.3245168030,18610,18448
4100,0.5253950357,0.1594123840,0.3242108226,18610,18449
4200,0.5428462625,0.1598860472,0.3239004910,18610,18449
4300,0.5615628362,0.1601850688,0.3256785274,18610,18449
4400,0.5772473812,0.1609774828,0.3255393803,18614,18449
4500,0.5897663236,0.1589600593,0.3205222487,18614,18449
4600,0.5960054398,0.1603117436,0.3198412955,18614,18444
4700,0.5997977257,0.1598940641,0.3146514893,18614,18444
4800,0.6017324328,0.1582065374,0.3158571124,18614,18444
4900,0.6070278287,0.1578261554,0.3158113658,18623,18444
5000,0.6144592762,0.1581178308,0.3176401258,18623,18444
5100,0.6270670891,0.1591360271,0.3208058774,18623,18450
5200,0.6432377696,0.1597363651,0.3222152889,18623,18450
5300,0.6610439420,0.1605029702,0.3218669593,18623,18450
5400,0.6777954102,0.1615581810,0.3201983571,18633,18450
