Time,X,Y,Z,Zrange,Gas1L,Gas1R
0,0.0001797082,-0.0007155090,-0.0000003913,16,19002,18815
10,0.0007045029,-0.0013402881,1.5390229225,16,19002,18815
20,-0.0022018910,0.0116863912,0.0909590721,19,19002,18815
30,-0.0049837409,0.0129353665,0.1515281200,19,19002,18815
40,-0.0035106079,0.0147169251,0.1606298536,19,19002,18815
50,-0.0044773738,0.0155195799,0.1599921137,19,19002,18815
60,-0.0051912633,0.0160519797,0.1584007889,17,19002,18815
70,-0.0011422134,0.0101969363,0.1162868962,17,19002,18815
80,-0.0031890674,0.0125117507,0.1241597086,17,19002,18815
90,-0.0035332968,0.0132628083,0.1240623444,17,19002,18815
100,-0.0038678932,0.0139866862,0.1237975806,17,19002,18815
110,-0.0065581016,0.0140834907,0.0938266665,18,19002,18815
120,-0.0032509391,0.0117350826,0.0981090739,18,19002,18815
130,-0.0023027039,0.0117920889,0.0970073119,18,19002,18810
140,-0.0046027089,0.0124958772,0.1109630540,18,19002,18810
150,-0.0031298823,0.0142566562,0.0840219781,15,19002,18810
160,-0.0031873013,0.0139928954,0.0820273012,15,19002,18810
170,-0.0031157359,0.0148501499,0.0810590684,15,19002,18810
180,-0.0047616167,0.0148860691,0.0790700465,15,19002,18810
190,-0.0040322081,0.0143661192,0.0820192024,15,19002,18810
200,-0.0054353341,0.0175687820,0.0550830811,15,19002,18810
210,-0.0047825077,0.0166636873,0.0540743954,15,19002,18810
220,-0.0040660328,0.0167842992,0.0546818003,15,19002,18810
230,-0.0048932000,0.0157210138,0.0587571226,15,19002,18810
240,-0.0049864654,0.0179043058,0.0415435620,15,19002,18810
250,-0.0054553747,0.0182149466,0.0379413031,15,19002,18810
260,-0.0055752648,0.0182277430,0.0347826183,15,19002,18810
270,-0.0047064833,0.0174786188,0.0327777825,15,19002,18810
280,-0.0044592419,0.0175376423,0.0295266807,18,19002,18810
290,-0.0044967602,0.0174772013,0.0281458832,18,19002,18810
300,-0.0044510830,0.0172301885,0.0253572762,18,19002,18810
310,-0.0041240999,0.0171939731,0.0225804560,18,19002,18810
320,-0.0046005547,0.0168378428,0.0218586065,16,19002,18810
330,-0.0040018153,0.0164516512,0.0216984451,16,19002,18810
340,-0.0038075612,0.0164477155,0.0192589201,16,19002,18810
350,-0.0038986409,0.0158839040,0.0176957175,16,19002,18810
360,-0.0036147607,0.0154509116,0.0161313489,16,19002,18810
370,-0.0036986473,0.0154991662,0.0173737742,15,19002,18810
380,-0.0034534435,0.0153765399,0.0169704929,15,19001,18810
390,-0.0039185970,0.0151574304,0.0159695242,15,19001,18810
400,-0.0033086217,0.0144402571,0.0201830044,15,19001,18810
410,-0.0034278645,0.0144598493,0.0200141054,18,19001,18810
420,-0.0030775873,0.0136683369,0.0202725437,18,19001,18810
430,-0.0028603210,0.0132722715,0.0213948768,18,19001,18810
440,-0.0032913759,0.0133908717,0.0224781465,18,19001,18810
450,-0.0032060281,0.0127218105,0.0259231087,15,19001,18810
460,-0.0033447528,0.0131354518,0.0207689330,15,19001,18810
470,-0.0029106743,0.0131265773,0.0195560493,15,19001,18810
480,-0.0027267120,0.0127762733,0.0189021043,15,19001,18810
490,-0.0030147128,0.0128523763,0.0212723836,15,19001,18810
500,-0.0031310157,0.0130439149,0.0183626581,15,19001,18810
510,-0.0031958015,0.0131953955,0.0170670375,15,19001,18810
520,-0.0031359575,0.0132510886,0.0159794390,15,19001,18810
530,-0.0027201469,0.0128851347,0.0146940304,15,19001,18810
540,-0.0033471123,0.0125241838,0.0177202057,16,19001,18810
550,-0.0028385888,0.0126198567,0.0209357869,16,19001,18810
560,-0.0030536284,0.0120158531,0.0223920830,16,19001,18810
570,-0.0035379548,0.0117615964,0.0213251710,16,19001,18810
580,-0.0034633193,0.0115977116,0.0231264271,16,19001,18810
590,-0.0028275163,0.0115816556,0.0206919387,18,19001,18810
600,-0.0029997022,0.0118618105,0.0224391557,18,19001,18810
610,-0.0030835546,0.0113649219,0.0237657446,18,19001,18810
620,-0.0034578734,0.0114939194,0.0236556809,18,19001,18810
630,-0.0029352363,0.0115073100,0.0222495645,17,19001,18811
640,-0.0025953099,0.0111120576,0.0215619579,17,19001,18811
650,-0.0034862799,0.0108676618,0.0246174335,17,19001,18811
660,-0.0025654628,0.0101838056,0.0298115145,17,19001,18811
670,-0.0033722059,0.0105628511,0.0288535822,16,19001,18811
680,-0.0029204299,0.0110543435,0.0298124123,16,19001,18811
690,-0.0023140775,0.0103692431,0.0321173482,16,19001,18811
700,-0.0031476161,0.0108329086,0.0375738889,16,19001,18811
710,-0.0026353835,0.0106574250,0.0410493463,16,19001,18811
720,-0.0024577572,0.0110508250,0.0320879295,17,19001,18811
730,-0.0020928341,0.0104684681,0.0324162506,17,19001,18811
740,-0.0024402644,0.0106329685,0.0346433185,17,19001,18811
750,-0.0021276749,0.0101351365,0.0351747908,17,19001,18811
760,-0.0019563339,0.0101628294,0.0294781886,20,19001,18811
770,-0.0026908573,0.0108626327,0.0306500401,20,19001,18811
