Time,X,Y,Z
0,-0.0000068245,-0.0000039241,-0.0000008870
10,-0.0000293487,-0.0000134246,0.1079951152
20,-0.0000827703,-0.0000355348,0.2180060893
30,-0.0000133091,0.0000081237,0.0150215626
40,-0.0000107043,0.0000058262,0.0150140161
50,-0.0000120191,-0.0000015261,0.0150004905
60,-0.0000111222,-0.0000020019,0.0149839371
70,-0.0000105096,-0.0000033168,0.0149602573
80,-0.0000105836,-0.0000064614,0.0154673494
90,-0.0000106481,-0.0000085056,0.0154398279
100,-0.0000090418,-0.0000090373,0.0154084787
110,-0.0000123042,-0.0000112575,0.0153692560
120,-0.0000117277,-0.0000109828,0.0136233475
130,-0.0000109592,-0.0000130857,0.0135276662
140,-0.0000115620,-0.0000155406,0.0134280557
150,-0.0000129121,-0.0000170870,0.0133261383
160,-0.0000151734,-0.0000206200,0.0127657922
170,-0.0000157767,-0.0000213828,0.0126348305
180,-0.0000199126,-0.0000223606,0.0125009101
190,-0.0000235919,-0.0000246910,0.0123631516
200,-0.0000270666,-0.0000279358,0.0122210477
210,-0.0000222132,-0.0000247856,0.0131760119
220,-0.0000225708,-0.0000262315,0.0130899828
230,-0.0000273777,-0.0000274727,0.0129902689
240,-0.0000285766,-0.0000298031,0.0128956884
250,-0.0000316264,-0.0000350339,0.0128303319
260,-0.0000329141,-0.0000380474,0.0127305817
270,-0.0000250834,-0.0000314146,0.0127306590
280,-0.0000261356,-0.0000341453,0.0126277534
290,-0.0000376764,-0.0000438010,0.0124104293
300,-0.0000231341,-0.0000350903,0.0130972452
310,-0.0000252306,-0.0000366801,0.0130266696
320,-0.0000256719,-0.0000394645,0.0129536018
330,-0.0000331234,-0.0000469363,0.0127975037
340,-0.0000175173,-0.0000410308,0.0136873666
350,-0.0000134612,-0.0000365411,0.0136873685
360,-0.0000138043,-0.0000389110,0.0136528164
370,-0.0000142299,-0.0000406804,0.0136170648
380,-0.0000115162,-0.0000394715,0.0137487426
390,-0.0000117012,-0.0000402156,0.0137172760
400,-0.0000121659,-0.0000430042,0.0136770252
410,-0.0000114228,-0.0000434333,0.0136360032
420,-0.0000098611,-0.0000454501,0.0135910520
430,-0.0000127623,-0.0000483505,0.0133074205
440,-0.0000134760,-0.0000496691,0.0132409409
450,-0.0000133948,-0.0000503285,0.0131719438
460,-0.0000137592,-0.0000518765,0.0130928624
470,0.0000068274,-0.0000420695,0.0142398467
480,0.0000072186,-0.0000435242,0.0142316064
490,0.0000097626,-0.0000444584,0.0142209483
500,0.0000122746,-0.0000446204,0.0142063368
510,0.0000143289,-0.0000450804,0.0141851166
520,0.0000274791,-0.0000400394,0.0149210095
530,2.1021194458,3.0674626827,0.0149375107
540,2.0374071598,3.0911231041,0.0149560245
550,1.9449391365,2.7076661587,0.0149325421
560,1.9449393749,2.7076699734,0.0149692297
570,1.5955003500,2.4198648930,0.0149786770
580,1.3414387703,2.1571049690,0.0150076654
590,1.3174978495,2.1395809650,0.0149986213
600,1.3174973726,2.1395776272,0.0150002902
610,1.2991470098,2.1309006214,0.0149991959
620,1.2989143133,2.1390683651,0.0149978502
630,1.2825206518,2.1447436810,0.0150064621
640,1.2692967653,2.1246938705,0.0149754137
650,1.2697271109,2.1249692440,0.0170362052
660,1.2730687857,2.0897676945,0.0171319265
670,1.2722921371,2.0952003002,0.0172259323
680,1.2758455276,2.1062824726,0.0173151921
690,1.2791285515,2.1001834869,0.0151963346
700,1.2853993177,2.0998263359,0.0151460180
710,1.2819712162,2.1186664104,0.0151140830
720,1.2819724083,2.1186673641,0.0150701748
730,1.2843320370,2.1144781113,0.0150272176
740,1.2843313217,2.1144778728,0.0149628473
750,1.2847871780,2.1244475842,0.0148989139
760,1.2643550634,2.1044292450,0.0148458593
770,1.2619152069,2.1027283669,0.0147771845
780,1.2598946095,2.1041073799,0.0148336478
791,1.2529444695,2.1039545536,0.0147939092
800,1.2586172819,2.1038157940,0.0147254746
810,1.2572362423,2.1075625420,0.0146644637
820,1.2552378178,2.1029386520,0.0145987067
830,1.2525453568,2.1028442383,0.0147082834
840,1.2522804737,2.1046319008,0.0146493912
850,1.2522717714,2.1046245098,0.0145893609
860,1.2569475174,2.1022684574,0.0145189315
870,1.2589793205,2.0907709599,0.0138541693
880,1.2581073046,2.0902636051,0.0137453023
890,1.2581989765,2.0832970142,0.0136366384
900,1.2581996918,2.0832931995,0.0135245426
910,1.2581995726,2.0832910538,0.0134079168
920,1.2582514286,2.0832479000,0.0135339694
930,1.2582507133,2.0832462311,0.0134211062
940,1.2610054016,2.0799427032,0.0133038620
951,1.2608180046,2.0835163593,0.0131685147
960,1.2615538836,2.0802736282,0.0130237052
970,1.2617188692,2.0800583363,0.0128856534
980,1.2579605579,2.0791983604,0.0127615472
990,1.2584369183,2.0785837173,0.0126257967
1001,1.2606523037,2.0774300098,0.0130919293
