Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
0,0.0929572359,-0.0568021126,0.0165886898,0.0000000000,0.0000000000,0.0000000000,17,19674,19973
10,0.0929598138,-0.0568076894,0.0164801013,0.0000025779,-0.0000055768,-0.0001085885,17,19674,19973
20,0.0929623246,-0.0568129346,0.0163657852,0.0000050887,-0.0000108220,-0.0002229046,17,19674,19973
30,0.0929633304,-0.0568221360,0.0162454769,0.0000060946,-0.0000200234,-0.0003432129,17,19674,19973
40,0.0929679424,-0.0568281747,0.0164309032,0.0000107065,-0.0000260621,-0.0001577865,17,19674,19973
50,0.0929689184,-0.0568334870,0.0163151678,0.0000116825,-0.0000313744,-0.0002735220,17,19674,19973
60,0.0929690376,-0.0568375848,0.0161947217,0.0000118017,-0.0000354722,-0.0003939681,17,19674,19973
70,0.0929695964,-0.0568425395,0.0160674751,0.0000123605,-0.0000404269,-0.0005212147,17,19674,19973
80,0.0929761603,-0.0568484627,0.0163049344,0.0000189245,-0.0000463501,-0.0002837554,17,19674,19973
90,0.0929769501,-0.0568561330,0.0161828510,0.0000197142,-0.0000540204,-0.0004058387,17,19674,19973
100,0.0929773673,-0.0568629652,0.0160550140,0.0000201315,-0.0000608526,-0.0005336758,17,19674,19973
110,0.0929789692,-0.0568689667,0.0159211941,0.0000217333,-0.0000668541,-0.0006674957,17,19674,19973
120,0.0929787681,-0.0568764955,0.0154705513,0.0000215322,-0.0000743829,-0.0011181384,15,19674,19973
130,0.0929816067,-0.0568802543,0.0153061198,0.0000243708,-0.0000781417,-0.0012825700,15,19674,19973
140,0.0929839015,-0.0568864532,0.0151358964,0.0000266656,-0.0000843406,-0.0014527934,15,19674,19973
150,0.0929853395,-0.0568917841,0.0149590494,0.0000281036,-0.0000896715,-0.0016296403,15,19674,19973
160,0.0929868519,-0.0568987839,0.0147746559,0.0000296161,-0.0000966713,-0.0018140338,15,19674,19973
170,0.0930003151,-0.0569023192,0.0158783738,0.0000430793,-0.0001002066,-0.0007103160,18,19674,19973
180,0.0930019170,-0.0569076724,0.0157501139,0.0000446811,-0.0001055598,-0.0008385759,18,19674,19981
190,0.0930035412,-0.0569132827,0.0156169953,0.0000463054,-0.0001111701,-0.0009716945,18,19674,19981
200,0.0930052698,-0.0569193698,0.0154792834,0.0000480339,-0.0001172572,-0.0011094064,18,19674,19981
210,0.0930230767,-0.0569245443,0.0171066653,0.0000658408,-0.0001224317,0.0005179755,20,19674,19981
220,0.0930263996,-0.0569295995,0.0170503836,0.0000691637,-0.0001274869,0.0004616939,20,19674,19981
230,0.0930280536,-0.0569360256,0.0169872548,0.0000708178,-0.0001339130,0.0003985651,20,19674,19981
240,0.0930315405,-0.0569426604,0.0169170741,0.0000743046,-0.0001405478,0.0003283843,20,19674,19981
250,0.0930376574,-0.0569482855,0.0169026423,0.0000804216,-0.0001461729,0.0003139526,17,19674,19981
260,0.0930401012,-0.0569534376,0.0168229435,0.0000828654,-0.0001513250,0.0002342537,17,19674,19981
270,0.0930418819,-0.0569594018,0.0167378690,0.0000846460,-0.0001572892,0.0001491793,17,19674,19981
280,0.0930451378,-0.0569674522,0.0166481007,0.0000879019,-0.0001653396,0.0000594109,17,19674,19981
290,0.0930481032,-0.0569721833,0.0165542774,0.0000908673,-0.0001700707,-0.0000344124,17,19674,19981
300,0.0930521488,-0.0569780432,0.0166319199,0.0000949129,-0.0001759306,0.0000432301,17,19674,19981
310,0.0930536687,-0.0569833070,0.0165349189,0.0000964329,-0.0001811944,-0.0000537708,17,19674,19981
320,0.0930560380,-0.0569904633,0.0164314527,0.0000988021,-0.0001883507,-0.0001572371,17,19674,19981
330,0.0930581316,-0.0569967702,0.0163210891,0.0001008958,-0.0001946576,-0.0002676006,17,19674,19981
340,0.0930494145,-0.0570035689,0.0149358716,0.0000921786,-0.0002014562,-0.0016528182,13,19674,19981
