Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
0,0.0093914764,-0.0089518921,0.0614023134,0.0093914764,-0.0089518921,0.0614023134,16,19914,20445
10,0.0091601675,-0.0084826481,0.0615591742,0.0091601675,-0.0084826481,0.0615591742,16,19914,20445
20,0.0093957111,-0.0091951294,0.0619547442,0.0093957111,-0.0091951294,0.0619547442,16,19914,20445
30,0.0084480150,-0.0084881317,0.0630081594,0.0084480150,-0.0084881317,0.0630081594,16,19914,20445
40,0.0084833466,-0.0084334016,0.0473985672,0.0084833466,-0.0084334016,0.0473985672,21,19914,20445
50,0.0084756715,-0.0100841662,0.0470905639,0.0084756715,-0.0100841662,0.0470905639,21,19914,20445
60,0.0094095962,-0.0098701278,0.0481431149,0.0094095962,-0.0098701278,0.0481431149,21,19914,20445
70,0.0094186105,-0.0098786578,0.0479143299,0.0094186105,-0.0098786578,0.0479143299,21,19914,20445
80,0.0094186105,-0.0098786578,0.0479143299,0.0094186105,-0.0098786578,0.0479143299,21,19914,20445
90,0.0075955610,-0.0085971933,0.0374597088,0.0075955610,-0.0085971933,0.0374597088,21,19914,20445
100,0.0087259142,-0.0083792144,0.0394424722,0.0087259142,-0.0083792144,0.0394424722,21,19914,20445
110,0.0077949306,-0.0083693312,0.0392349809,0.0077949306,-0.0083693312,0.0392349809,21,19914,20445
120,0.0093805166,-0.0090691615,0.0409642719,0.0093805166,-0.0090691615,0.0409642719,21,19914,20445
130,0.0073645702,-0.0083565339,0.0368218198,0.0073645702,-0.0083565339,0.0368218198,20,19914,20445
140,0.0073432946,-0.0083500827,0.0365154184,0.0073432946,-0.0083500827,0.0365154184,20,19914,20445
150,0.0093578892,-0.0083572073,0.0382937230,0.0093578892,-0.0083572073,0.0382937230,20,19914,20445
160,0.0074840817,-0.0083624031,0.0445088372,0.0074840817,-0.0083624031,0.0445088372,20,19914,20445
170,0.0089055030,-0.0083436649,0.0368541069,0.0089055030,-0.0083436649,0.0368541069,21,19914,20444
180,0.0026868619,-0.0051421942,0.0452416986,0.0026868619,-0.0051421942,0.0452416986,21,19914,20444
190,0.0021095537,-0.0043946058,0.0552955829,0.0021095537,-0.0043946058,0.0552955829,21,19914,20444
200,0.0031153618,-0.0061075664,0.0829863995,0.0031153618,-0.0061075664,0.0829863995,21,19914,20444
210,0.0013932288,-0.0046838163,0.0857858807,0.0013932288,-0.0046838163,0.0857858807,21,19914,20444
220,0.0021549792,0.0024169467,0.0606778227,0.0021549792,0.0024169467,0.0606778227,22,19914,20444
230,0.0000518750,0.0033055847,0.0792861581,0.0000518750,0.0033055847,0.0792861581,22,19914,20444
240,0.0005524579,0.0042869495,0.0922478586,0.0005524579,0.0042869495,0.0922478586,22,19914,20444
250,0.0005745331,0.0037370799,0.1025130898,0.0005745331,0.0037370799,0.1025130898,22,19914,20444
260,0.0011202453,0.0033470846,0.0803092271,0.0011202453,0.0033470846,0.0803092271,18,19914,20444
270,0.0014052170,0.0030628161,0.0809618011,0.0014052170,0.0030628161,0.0809618011,18,19914,20444
280,0.0014647697,0.0029797347,0.0811703876,0.0014647697,0.0029797347,0.0811703876,18,19914,20444
290,0.0018271616,0.0023046897,0.0803530589,0.0018271616,0.0023046897,0.0803530589,18,19914,20444
300,0.0008761794,0.0017560015,0.0807643458,0.0008761794,0.0017560015,0.0807643458,21,19914,20444
310,0.0037144013,0.0003384234,0.0610360391,0.0037144013,0.0003384234,0.0610360391,21,19914,20444
320,0.0036159484,0.0012414488,0.0632348731,0.0036159484,0.0012414488,0.0632348731,21,19914,20444
330,0.0023125266,0.0011179493,0.0653824210,0.0023125266,0.0011179493,0.0653824210,21,19914,20444
340,0.0030537872,0.0008771078,0.0659393445,0.0030537872,0.0008771078,0.0659393445,21,19914,20444
350,0.0036924316,0.0011631496,0.0501396582,0.0036924316,0.0011631496,0.0501396582,20,19914,20444
360,0.0029439870,0.0011944920,0.0500067733,0.0029439870,0.0011944920,0.0500067733,20,19914,20444
370,0.0036808569,-0.0002571053,0.0502182581,0.0036808569,-0.0002571053,0.0502182581,20,19914,20444
380,0.0034225194,-0.0002219723,0.0503830202,0.0034225194,-0.0002219723,0.0503830202,20,19914,20444
390,0.0036096906,-0.0007216641,0.0383933224,0.0036096906,-0.0007216641,0.0383933224,20,19914,20444
400,0.0035688076,-0.0002669854,0.0379422866,0.0035688076,-0.0002669854,0.0379422866,20,19914,20444
410,0.0035724244,-0.0000223394,0.0368027426,0.0035724244,-0.0000223394,0.0368027426,20,19914,20444
420,0.0023997379,0.0006882371,0.0353058167,0.0023997379,0.0006882371,0.0353058167,20,19914,20444
430,0.0023747103,-0.0002086443,0.0365134217,0.0023747103,-0.0002086443,0.0365134217,20,19914,20444
440,0.0024295563,-0.0002765935,0.0281635113,0.0024295563,-0.0002765935,0.0281635113,18,19914,20444
450,0.0021933622,-0.0002671049,0.0266542844,0.0021933622,-0.0002671049,0.0266542844,18,19914,20444
460,0.0038008601,-0.0002578233,0.0262229852,0.0038008601,-0.0002578233,0.0262229852,18,19914,20444
470,0.0033400815,-0.0002518104,0.0269137174,0.0033400815,-0.0002518104,0.0269137174,18,19914,20444
480,0.0019811445,0.0011234103,0.0249825399,0.0019811445,0.0011234103,0.0249825399,23,19914,20444
490,0.0037449165,-0.0002350488,0.0308079757,0.0037449165,-0.0002350488,0.0308079757,23,19914,20444
500,0.0030748334,-0.0002436384,0.0318542868,0.0030748334,-0.0002436384,0.0318542868,23,19914,20444
510,0.0037605981,0.0006554340,0.0316528901,0.0037605981,0.0006554340,0.0316528901,23,19914,20444
520,0.0037755854,0.0006672876,0.0312999561,0.0037755854,0.0006672876,0.0312999561,18,19914,20444
530,0.0022091027,0.0009337126,0.0258614272,0.0022091027,0.0009337126,0.0258614272,18,19914,20444
